dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
110,7227,FBgn0000273,Pka-C1,C,,flybase
110,7227,FBgn0000274,Pka-C2,C,,flybase
110,7227,FBgn0000276,CecA1,NE,,flybase
110,7227,FBgn0000277,CecA2,NE,,flybase
110,7227,FBgn0000278,CecB,NE,,flybase
110,7227,FBgn0000282,cel,NE,,flybase
110,7227,FBgn0000283,Cp190,C,,flybase
110,7227,FBgn0000286,Cf2,C,,flybase
110,7227,FBgn0000287,salr,C,,flybase
110,7227,FBgn0000289,cg,C,,flybase
110,7227,FBgn0000299,Col4a1,C,,flybase
110,7227,FBgn0000300,cgd,E,,flybase
110,7227,FBgn0000302,cha,E,,flybase
110,7227,FBgn0000303,ChAT,C,,flybase
110,7227,FBgn0000307,chif,NE,,flybase
110,7227,FBgn0000308,chic,C,,flybase
110,7227,FBgn0000316,cin,E,,flybase
110,7227,FBgn0000317,ck,C,,flybase
110,7227,FBgn0000318,cl,NE,,flybase
110,7227,FBgn0000319,Chc,C,,flybase
110,7227,FBgn0000320,eya,C,,flybase
110,7227,FBgn0000324,clm,NE,,flybase
110,7227,FBgn0000330,cm,C,,flybase
110,7227,FBgn0000331,Crimp,E,,flybase
110,7227,FBgn0000332,Cma,E,,flybase
110,7227,FBgn0000336,cmt,E,,flybase
110,7227,FBgn0000337,cn,NE,,flybase
110,7227,FBgn0000339,cni,C,,flybase
110,7227,FBgn0000344,compressed,E,,flybase
110,7227,FBgn0000346,comt,C,,flybase
110,7227,FBgn0000348,cop,NE,,flybase
110,7227,FBgn0000351,cort,C,,flybase
110,7227,FBgn0000352,cos,C,,flybase
110,7227,FBgn0000354,cp,E,,flybase
110,7227,FBgn0000355,Cp15,NE,,flybase
110,7227,FBgn0000356,Cp16,NE,,flybase
110,7227,FBgn0000357,Cp18,C,,flybase
110,7227,FBgn0000358,Cp19,NE,,flybase
110,7227,FBgn0000359,Cp36,NE,,flybase
110,7227,FBgn0000360,Cp38,NE,,flybase
110,7227,FBgn0000364,Cpt,E,,flybase
110,7227,FBgn0000367,cra,E,,flybase
110,7227,FBgn0000370,crc,C,,flybase
110,7227,FBgn0000371,crib,E,,flybase
110,7227,FBgn0000375,crooked-setae,NE,,flybase
110,7227,FBgn0000376,crm,C,,flybase
110,7227,FBgn0000377,crn,C,,flybase
110,7227,FBgn0000378,crt,C,,flybase
110,7227,FBgn0000380,cs,NE,,flybase
110,7227,FBgn0000382,csw,C,,flybase
110,7227,FBgn0000384,cta,E,,flybase
110,7227,FBgn0000385,ctl,E,,flybase
110,7227,FBgn0000388,Curl,C,,flybase
110,7227,FBgn0000389,Cu-3,E,,flybase
110,7227,FBgn0000392,cup,NE,,flybase
110,7227,FBgn0000393,cur,E,,flybase
110,7227,FBgn0000394,cv,NE,,flybase
110,7227,FBgn0000395,cv-2,C,,flybase
110,7227,FBgn0000400,cvw,NE,,flybase
110,7227,FBgn0000401,cx,E,,flybase
