ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
3071,108,83333,EppG,EppG,0,NE,PEC,
3072,108,83333,TerA,TerA,0,NE,PEC,
3073,108,83333,TerB,TerB,0,NE,PEC,
3074,108,83333,TerD,TerD,0,NE,PEC,
3075,108,83333,TerE,TerE,0,NE,PEC,
3076,108,83333,TerF,TerF,0,NE,PEC,
3077,108,83333,aaaD,aaaD,0,NE,PEC,
3078,108,83333,aaaE,aaaE,0,NE,PEC,
3079,108,83333,aaeA,aaeA,0,NE,PEC,
3080,108,83333,aaeB,aaeB,0,NE,PEC,
3081,108,83333,aaeR,aaeR,0,NE,PEC,
3082,108,83333,aaeX,aaeX,0,NE,PEC,
3083,108,83333,aas,aas,0,NE,PEC,
3084,108,83333,aat,aat,0,NE,PEC,
3085,108,83333,abgA,abgA,0,NE,PEC,
3086,108,83333,abgB,abgB,0,NE,PEC,
3087,108,83333,abgR,abgR,0,NE,PEC,
3088,108,83333,abgT,abgT,0,NE,PEC,
3089,108,83333,abpS,abpS,0,NE,PEC,
3090,108,83333,abrB,abrB,0,NE,PEC,
3091,108,83333,abs,abs,0,NE,PEC,
3092,108,83333,accA,accA,1,E,PEC,
3093,108,83333,accB,accB,1,E,PEC,
3094,108,83333,accC,accC,1,E,PEC,
3095,108,83333,accD,accD,1,E,PEC,
3096,108,83333,acd,acd,0,NE,PEC,
3097,108,83333,aceA,aceA,0,NE,PEC,
3098,108,83333,aceB,aceB,0,NE,PEC,
3099,108,83333,aceE,aceE,0,NE,PEC,
3100,108,83333,aceF,aceF,0,NE,PEC,
3101,108,83333,aceK,aceK,0,NE,PEC,
3102,108,83333,ackA,ackA,0,NE,PEC,
3103,108,83333,ackB,ackB,0,NE,PEC,
3104,108,83333,acnA,acnA,0,NE,PEC,
3105,108,83333,acnB,acnB,0,NE,PEC,
3106,108,83333,acpH,acpH,0,NE,PEC,
3107,108,83333,acpP,acpP,1,E,PEC,
3108,108,83333,acpS,acpS,1,E,PEC,
3109,108,83333,acpT,acpT,0,NE,PEC,
3110,108,83333,acpX,acpX,0,NE,PEC,
3111,108,83333,acrA,acrA,0,NE,PEC,
3112,108,83333,acrB,acrB,0.25,C,PEC,
3113,108,83333,acrC,acrC,0,NE,PEC,
3114,108,83333,acrD,acrD,0,NE,PEC,
3115,108,83333,acrE,acrE,0,NE,PEC,
3116,108,83333,acrF,acrF,0,NE,PEC,
3117,108,83333,acrR,acrR,0,NE,PEC,
3118,108,83333,acrZ,acrZ,0,NE,PEC,
3119,108,83333,acs,acs,0,NE,PEC,
3120,108,83333,actP,actP,0,NE,PEC,
3121,108,83333,acuI,acuI,0,NE,PEC,
3122,108,83333,ada,ada,0,NE,PEC,
3123,108,83333,add,add,0,NE,PEC,
3124,108,83333,ade,ade,0,NE,PEC,
3125,108,83333,adhB,adhB,0,NE,PEC,
3126,108,83333,adhE,adhE,0,NE,PEC,
3127,108,83333,adhP,adhP,0,NE,PEC,
3128,108,83333,adhR,adhR,0,NE,PEC,
3129,108,83333,adiA,adiA,0,NE,PEC,
3130,108,83333,adiC,adiC,0,NE,PEC,
3131,108,83333,adiY,adiY,0,NE,PEC,
3132,108,83333,adk,adk,1,E,PEC,
3133,108,83333,aegA,aegA,0,NE,PEC,
