ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
135954,173,83333,b4082,,,NE,,16738554
135955,173,83333,b4081,,,NE,,16738554
135956,173,83333,b4080,,,NE,,16738554
135957,173,83333,b4079,,,NE,,16738554
135958,173,83333,b4078,,,NE,,16738554
135959,173,83333,b4077,,,NE,,16738554
135960,173,83333,b4076,,,NE,,16738554
135961,173,83333,b4075,,,NE,,16738554
135962,173,83333,b4074,,,NE,,16738554
135963,173,83333,b4073,,,NE,,16738554
135964,173,83333,b4072,,,NE,,16738554
135965,173,83333,b4071,,,NE,,16738554
135966,173,83333,b4070,,,NE,,16738554
135967,173,83333,b4069,,,NE,,16738554
135968,173,83333,b4068,,,NE,,16738554
135969,173,83333,b4067,,,NE,,16738554
135970,173,83333,b4066,,,NE,,16738554
135971,173,83333,b4065,,,NE,,16738554
135972,173,83333,b4064,,,NE,,16738554
135973,173,83333,b4063,,,NE,,16738554
135974,173,83333,b4062,,,NE,,16738554
135975,173,83333,b4061,,,NE,,16738554
135976,173,83333,b4060,,,NE,,16738554
135977,173,83333,b4059,,,E,,16738554
135978,173,83333,b4058,,,NE,,16738554
135979,173,83333,b4057,,,NE,,16738554
135980,173,83333,b4056,,,NE,,16738554
135981,173,83333,b4055,,,NE,,16738554
135982,173,83333,b4054,,,NE,,16738554
135983,173,83333,b4053,,,NE,,16738554
135984,173,83333,b4052,,,E,,16738554
135985,173,83333,b4051,,,NE,,16738554
135986,173,83333,b4050,,,NE,,16738554
135987,173,83333,b4049,,,NE,,16738554
135988,173,83333,b4048,,,NE,,16738554
135989,173,83333,b4047,,,NE,,16738554
135990,173,83333,b4046,,,NE,,16738554
135991,173,83333,b4045,,,NE,,16738554
135992,173,83333,b4044,,,NE,,16738554
135993,173,83333,b4043,,,E,,16738554
135994,173,83333,b4042,,,NE,,16738554
135995,173,83333,b4041,,,E,,16738554
135996,173,83333,b4040,,,E,,16738554
135997,173,83333,b4039,,,NE,,16738554
135998,173,83333,b4038,,,NE,,16738554
135999,173,83333,b4037,,,NE,,16738554
136000,173,83333,b4036,,,NE,,16738554
136001,173,83333,b4035,,,NE,,16738554
136002,173,83333,b4034,,,NE,,16738554
136003,173,83333,b4033,,,NE,,16738554
136004,173,83333,b4032,,,NE,,16738554
136005,173,83333,b4031,,,NE,,16738554
136006,173,83333,b4030,,,NE,,16738554
136007,173,83333,b4029,,,NE,,16738554
136008,173,83333,b4028,,,NE,,16738554
136009,173,83333,b4027,,,NE,,16738554
136010,173,83333,b4026,,,NE,,16738554
136011,173,83333,b4025,,,NE,,16738554
136012,173,83333,b4024,,,NE,,16738554
136013,173,83333,b4023,,,NE,,16738554
136014,173,83333,b4022,,,NE,,16738554
136015,173,83333,b4021,,,NE,,16738554
136016,173,83333,b4020,,,NE,,16738554
136017,173,83333,b4019,,,NE,,16738554
136018,173,83333,b4018,,,NE,,16738554
136019,173,83333,b4017,,,NE,,16738554
136020,173,83333,b4016,,,NE,,16738554
136021,173,83333,b4015,,,NE,,16738554
136022,173,83333,b4014,,,NE,,16738554
136023,173,83333,b4013,,,NE,,16738554
136024,173,83333,b4012,,,NE,,16738554
136025,173,83333,b4011,,,NE,,16738554
136026,173,83333,b4006,,,NE,,16738554
136027,173,83333,b4005,,,NE,,16738554
136028,173,83333,b4004,,,NE,,16738554
136029,173,83333,b4003,,,NE,,16738554
136030,173,83333,b4002,,,NE,,16738554
136031,173,83333,b4001,,,NE,,16738554
136032,173,83333,b4000,,,NE,,16738554
136033,173,83333,b3999,,,NE,,16738554
136034,173,83333,b3998,,,NE,,16738554
136035,173,83333,b3997,,,NE,,16738554
136036,173,83333,b3996,,,NE,,16738554
136037,173,83333,b3995,,,NE,,16738554
136038,173,83333,b3994,,,NE,,16738554
136039,173,83333,b3993,,,NE,,16738554
136040,173,83333,b3992,,,NE,,16738554
136041,173,83333,b3991,,,NE,,16738554
136042,173,83333,b3990,,,NE,,16738554
136043,173,83333,b3989,,,NE,,16738554
136044,173,83333,b3988,,,E,,16738554
136045,173,83333,b3987,,,E,,16738554
136046,173,83333,b3986,,,E,,16738554
136047,173,83333,b3985,,,E,,16738554
136048,173,83333,b3984,,,NE,,16738554
136049,173,83333,b3983,,,NE,,16738554
136050,173,83333,b3982,,,E,,16738554
136051,173,83333,b3981,,,E,,16738554
136052,173,83333,b3980,,,NE,,16738554
136053,173,83333,b3974,,,NE,,16738554
136054,173,83333,b3973,,,E,,16738554
136055,173,83333,b3972,,,E,,16738554
136056,173,83333,b3967,,,E,,16738554
136057,173,83333,b3966,,,NE,,16738554
136058,173,83333,b3965,,,NE,,16738554
136059,173,83333,b3964,,,NE,,16738554
136060,173,83333,b3963,,,NE,,16738554
136061,173,83333,b3962,,,NE,,16738554
136062,173,83333,b3961,,,NE,,16738554
136063,173,83333,b3960,,,NE,,16738554
136064,173,83333,b3959,,,NE,,16738554
136065,173,83333,b3958,,,NE,,16738554
136066,173,83333,b3957,,,NE,,16738554
136067,173,83333,b3956,,,NE,,16738554
136068,173,83333,b3955,,,NE,,16738554
136069,173,83333,b3954,,,NE,,16738554
136070,173,83333,b3953,,,NE,,16738554
136071,173,83333,b3952,,,NE,,16738554
136072,173,83333,b3951,,,NE,,16738554
136073,173,83333,b3950,,,NE,,16738554
136074,173,83333,b3949,,,NE,,16738554
136075,173,83333,b3947,,,NE,,16738554
136076,173,83333,b3946,,,NE,,16738554
136077,173,83333,b3945,,,NE,,16738554
136078,173,83333,b3944,,,NE,,16738554
136079,173,83333,b3943,,,NE,,16738554
136080,173,83333,b3942,,,NE,,16738554
136081,173,83333,b3941,,,NE,,16738554
136082,173,83333,b3940,,,NE,,16738554
136083,173,83333,b3939,,,NE,,16738554
136084,173,83333,b3938,,,NE,,16738554
136085,173,83333,b3937,,,NE,,16738554
136086,173,83333,b3936,,,NE,,16738554
136087,173,83333,b3935,,,NE,,16738554
136088,173,83333,b3934,,,NE,,16738554
136089,173,83333,b3933,,,E,,16738554
136090,173,83333,b3932,,,NE,,16738554
136091,173,83333,b3931,,,NE,,16738554
136092,173,83333,b3930,,,NE,,16738554
136093,173,83333,b3929,,,NE,,16738554
136094,173,83333,b3928,,,NE,,16738554
136095,173,83333,b3927,,,NE,,16738554
136096,173,83333,b3926,,,NE,,16738554
136097,173,83333,b3925,,,NE,,16738554
136098,173,83333,b3924,,,NE,,16738554
136099,173,83333,b3923,,,NE,,16738554
136100,173,83333,b3922,,,NE,,16738554
136101,173,83333,b3921,,,NE,,16738554
136102,173,83333,b3920,,,NE,,16738554
136103,173,83333,b3919,,,NE,,16738554
136104,173,83333,b3918,,,NE,,16738554
136105,173,83333,b3917,,,NE,,16738554
136106,173,83333,b3916,,,NE,,16738554
136107,173,83333,b3915,,,NE,,16738554
136108,173,83333,b3912,,,NE,,16738554
136109,173,83333,b3911,,,NE,,16738554
136110,173,83333,b3910,,,NE,,16738554
136111,173,83333,b3909,,,NE,,16738554
136112,173,83333,b3908,,,NE,,16738554
