ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
143709,175,83333,b2616,,,E,,25049088
143710,175,83333,b2417,,,F,,25049088
143711,175,83333,b0015,,,F,,25049088
143712,175,83333,b2945,,,E,,25049088
143713,175,83333,b3933,,,F,,25049088
143714,175,83333,b3017,,,F,,25049088
143715,175,83333,b3385,,,E,,25049088
143716,175,83333,b0957,,,F,,25049088
143717,175,83333,b2908,,,F,,25049088
143718,175,83333,b4025,,,E,,25049088
143719,175,83333,b0708,,,E,,25049088
143720,175,83333,b1830,,,F,,25049088
143721,175,83333,b3728,,,F,,25049088
143722,175,83333,b4389,,,E,,25049088
143723,175,83333,b0393,,,E,,25049088
143724,175,83333,b2819,,,E,,25049088
143725,175,83333,b3700,,,E,,25049088
143726,175,83333,b3652,,,F,,25049088
143727,175,83333,b2565,,,F,,25049088
143728,175,83333,b0472,,,F,,25049088
143729,175,83333,b2698,,,E,,25049088
143730,175,83333,b3778,,,F,,25049088
143731,175,83333,b1627,,,F,,25049088
143732,175,83333,b2011,,,E,,25049088
143733,175,83333,b3641,,,E,,25049088
143734,175,83333,b2938,,,E,,25049088
143735,175,83333,b3839,,,F,,25049088
143736,175,83333,b0739,,,F,,25049088
143737,175,83333,b1763,,,E,,25049088
143738,175,83333,b3651,,,E,,25049088
143739,175,83333,b0949,,,E,,25049088
143740,175,83333,b4058,,,E,,25049088
143741,175,83333,b0779,,,E,,25049088
143742,175,83333,b1913,,,E,,25049088
143743,175,83333,b3813,,,F,,25049088
143744,175,83333,b0208,,,E,,25049088
143745,175,83333,b0853,,,E,,25049088
143746,175,83333,b1864,,,E,,25049088
143747,175,83333,b2184,,,E,,25049088
143748,175,83333,b3407,,,E,,25049088
143749,175,83333,b3031,,,E,,25049088
