ID,dataset,taxaID,locus,gene,score,essentiality,Ref_db,pmid
7764,109,83333,aaeA,aaeA,0,NE,PEC,
7765,109,83333,aaeB,aaeB,0,NE,PEC,
7766,109,83333,aaeR,aaeR,0,NE,PEC,
7767,109,83333,aaeX,aaeX,0,NE,PEC,
7768,109,83333,aas,aas,0,NE,PEC,
7769,109,83333,aat,aat,0,NE,PEC,
7770,109,83333,abgA,abgA,0,NE,PEC,
7771,109,83333,abgB,abgB,0,NE,PEC,
7772,109,83333,abgR,abgR,0,NE,PEC,
7773,109,83333,abgT,abgT,0,NE,PEC,
7774,109,83333,abrB,abrB,0,NE,PEC,
7775,109,83333,accA,accA,1,E,PEC,
7776,109,83333,accB,accB,1,E,PEC,
7777,109,83333,accC,accC,1,E,PEC,
7778,109,83333,accD,accD,1,E,PEC,
7779,109,83333,aceA,aceA,0,NE,PEC,
7780,109,83333,aceB,aceB,0,NE,PEC,
7781,109,83333,aceE,aceE,0,NE,PEC,
7782,109,83333,aceF,aceF,0,NE,PEC,
7783,109,83333,aceK,aceK,0,NE,PEC,
7784,109,83333,ackA,ackA,0,NE,PEC,
7785,109,83333,acnA,acnA,0,NE,PEC,
7786,109,83333,acnB,acnB,0,NE,PEC,
7787,109,83333,acpP,acpP,1,E,PEC,
7788,109,83333,acpS,acpS,1,E,PEC,
7789,109,83333,acpT,acpT,0,NE,PEC,
7790,109,83333,acrA,acrA,0,NE,PEC,
7791,109,83333,acrB,acrB,0.25,C,PEC,
7792,109,83333,acrD,acrD,0,NE,PEC,
7793,109,83333,acrE,acrE,0,NE,PEC,
7794,109,83333,acrF,acrF,0,NE,PEC,
7795,109,83333,acrR,acrR,0,NE,PEC,
7796,109,83333,acs,acs,0,NE,PEC,
7797,109,83333,actP,actP,0,NE,PEC,
7798,109,83333,ada,ada,0,NE,PEC,
7799,109,83333,add,add,0,NE,PEC,
7800,109,83333,ade,ade,0,NE,PEC,
7801,109,83333,adhE,adhE,0,NE,PEC,
7802,109,83333,adhP,adhP,0,NE,PEC,
7803,109,83333,adiA,adiA,0,NE,PEC,
7804,109,83333,adiC,adiC,0,NE,PEC,
7805,109,83333,adiY,adiY,0,NE,PEC,
7806,109,83333,adk,adk,1,E,PEC,
7807,109,83333,aegA,aegA,0,NE,PEC,
7808,109,83333,aer,aer,0,NE,PEC,
7809,109,83333,aes,aes,0,NE,PEC,
7810,109,83333,afuB,afuB,0,NE,PEC,
7811,109,83333,afuC,afuC,0,NE,PEC,
7812,109,83333,agaA,agaA,0,NE,PEC,
7813,109,83333,agaB,agaB,0,NE,PEC,
7814,109,83333,agaC,agaC,0,NE,PEC,
7815,109,83333,agaD,agaD,0,NE,PEC,
7816,109,83333,agaI,agaI,0,NE,PEC,
7817,109,83333,agaR,agaR,0,NE,PEC,
7818,109,83333,agaS,agaS,0,NE,PEC,
7819,109,83333,agaV,agaV,0,NE,PEC,
7820,109,83333,agaW,agaW,0,NE,PEC,
7821,109,83333,agp,agp,0,NE,PEC,
7822,109,83333,ahpC,ahpC,0,NE,PEC,
7823,109,83333,ahpF,ahpF,0,NE,PEC,
7824,109,83333,aidB,aidB,0,NE,PEC,
7825,109,83333,ais,ais,0,NE,PEC,
7826,109,83333,alaS,alaS,1,E,PEC,
7827,109,83333,alaT,alaT,0,NE,PEC,
7828,109,83333,alaU,alaU,0,NE,PEC,
7829,109,83333,alaV,alaV,0,NE,PEC,
7830,109,83333,alaW,alaW,0,NE,PEC,
7831,109,83333,alaX,alaX,0,NE,PEC,
7832,109,83333,aldA,aldA,0,NE,PEC,
7833,109,83333,aldB,aldB,0,NE,PEC,
7834,109,83333,alkA,alkA,0,NE,PEC,
7835,109,83333,alkB,alkB,0,NE,PEC,
7836,109,83333,allA,allA,0,NE,PEC,
7837,109,83333,allB,allB,0,NE,PEC,
7838,109,83333,allC,allC,0,NE,PEC,
7839,109,83333,allD,allD,0,NE,PEC,
7840,109,83333,allR,allR,0,NE,PEC,
7841,109,83333,alpA,alpA,0,NE,PEC,
7842,109,83333,alr,alr,0,NE,PEC,
7843,109,83333,alsA,alsA,0,NE,PEC,
7844,109,83333,alsB,alsB,0,NE,PEC,
7845,109,83333,alsC,alsC,0,NE,PEC,
7846,109,83333,alsE,alsE,0,NE,PEC,
7847,109,83333,alsK,alsK,0,NE,PEC,
7848,109,83333,alx,alx,0,NE,PEC,
7849,109,83333,amiA,amiA,0,NE,PEC,
7850,109,83333,amiB,amiB,0,NE,PEC,
7851,109,83333,amiC,amiC,0,NE,PEC,
7852,109,83333,amn,amn,0,NE,PEC,
7853,109,83333,ampC,ampC,0,NE,PEC,
7854,109,83333,ampD,ampD,0,NE,PEC,
7855,109,83333,ampE,ampE,0,NE,PEC,
7856,109,83333,ampG,ampG,0,NE,PEC,
7857,109,83333,ampH,ampH,0,NE,PEC,
7858,109,83333,amtB,amtB,0,NE,PEC,
7859,109,83333,amyA,amyA,0,NE,PEC,
7860,109,83333,ansA,ansA,0,NE,PEC,
7861,109,83333,ansB,ansB,0,NE,PEC,
7862,109,83333,ansP,ansP,0,NE,PEC,
7863,109,83333,apaG,apaG,0,NE,PEC,
7864,109,83333,apaH,apaH,0,NE,PEC,
7865,109,83333,aphA,aphA,0,NE,PEC,
7866,109,83333,appA,appA,0,NE,PEC,
7867,109,83333,appB,appB,0,NE,PEC,
7868,109,83333,appC,appC,0,NE,PEC,
7869,109,83333,appY,appY,0,NE,PEC,
7870,109,83333,apt,apt,0,NE,PEC,
7871,109,83333,aqpZ,aqpZ,0,NE,PEC,
7872,109,83333,araA,araA,0,NE,PEC,
7873,109,83333,araB,araB,0,NE,PEC,
7874,109,83333,araC,araC,0,NE,PEC,
7875,109,83333,araD,araD,0,NE,PEC,
7876,109,83333,araE,araE,0,NE,PEC,
7877,109,83333,araF,araF,0,NE,PEC,
7878,109,83333,araG,araG,0,NE,PEC,
7879,109,83333,araH,araH,0,NE,PEC,
7880,109,83333,araJ,araJ,0,NE,PEC,
7881,109,83333,arcA,arcA,0,NE,PEC,
7882,109,83333,arcB,arcB,0,NE,PEC,
7883,109,83333,argA,argA,0,NE,PEC,
7884,109,83333,argB,argB,0,NE,PEC,
7885,109,83333,argC,argC,0,NE,PEC,
7886,109,83333,argD,argD,0,NE,PEC,
7887,109,83333,argE,argE,0,NE,PEC,
7888,109,83333,argF,argF,0,NE,PEC,
7889,109,83333,argG,argG,0,NE,PEC,
7890,109,83333,argH,argH,0,NE,PEC,
7891,109,83333,argI,argI,0,NE,PEC,
7892,109,83333,argK,argK,0,NE,PEC,
7893,109,83333,argO,argO,0,NE,PEC,
7894,109,83333,argP,argP,0,NE,PEC,
7895,109,83333,argQ,argQ,0,NE,PEC,
7896,109,83333,argR,argR,0,NE,PEC,
7897,109,83333,argS,argS,1,E,PEC,
7898,109,83333,argT,argT,0,NE,PEC,
7899,109,83333,argU,argU,0.25,C,PEC,
7900,109,83333,argV,argV,0,NE,PEC,
7901,109,83333,argW,argW,0.25,C,PEC,
7902,109,83333,argX,argX,1,E,PEC,
7903,109,83333,argY,argY,0,NE,PEC,
7904,109,83333,argZ,argZ,0,NE,PEC,
7905,109,83333,arnT,arnT,0,NE,PEC,
7906,109,83333,aroA,aroA,0,NE,PEC,
7907,109,83333,aroB,aroB,0,NE,PEC,
7908,109,83333,aroC,aroC,0,NE,PEC,
7909,109,83333,aroD,aroD,0,NE,PEC,
7910,109,83333,aroE,aroE,0,NE,PEC,
7911,109,83333,aroF,aroF,0,NE,PEC,
7912,109,83333,aroG,aroG,0,NE,PEC,
7913,109,83333,aroH,aroH,0,NE,PEC,
7914,109,83333,aroK,aroK,0,NE,PEC,
7915,109,83333,aroL,aroL,0,NE,PEC,
7916,109,83333,aroM,aroM,0,NE,PEC,
7917,109,83333,aroP,aroP,0,NE,PEC,
7918,109,83333,arpA,arpA,0,NE,PEC,
7919,109,83333,arpB,arpB,0,NE,PEC,
7920,109,83333,arsB,arsB,0,NE,PEC,
7921,109,83333,arsC,arsC,0,NE,PEC,
7922,109,83333,arsR,arsR,0,NE,PEC,
7923,109,83333,artI,artI,0,NE,PEC,
7924,109,83333,artJ,artJ,0,NE,PEC,
7925,109,83333,artM,artM,0,NE,PEC,
7926,109,83333,artP,artP,0,NE,PEC,
7927,109,83333,artQ,artQ,0,NE,PEC,
7928,109,83333,ascB,ascB,0,NE,PEC,
7929,109,83333,ascF,ascF,0,NE,PEC,
7930,109,83333,ascG,ascG,0,NE,PEC,
7931,109,83333,asd,asd,1,E,PEC,
7932,109,83333,aslA,aslA,0,NE,PEC,
7933,109,83333,aslB,aslB,0,NE,PEC,
7934,109,83333,asmA,asmA,0,NE,PEC,
7935,109,83333,asnA,asnA,0,NE,PEC,
7936,109,83333,asnB,asnB,0,NE,PEC,
7937,109,83333,asnC,asnC,0,NE,PEC,
7938,109,83333,asnS,asnS,1,E,PEC,
7939,109,83333,asnT,asnT,0,NE,PEC,
7940,109,83333,asnU,asnU,0,NE,PEC,
7941,109,83333,asnV,asnV,0,NE,PEC,
7942,109,83333,asnW,asnW,0,NE,PEC,
7943,109,83333,aspA,aspA,0,NE,PEC,
7944,109,83333,aspC,aspC,0,NE,PEC,
7945,109,83333,aspS,aspS,1,E,PEC,
7946,109,83333,aspT,aspT,0,NE,PEC,
7947,109,83333,aspU,aspU,0,NE,PEC,
7948,109,83333,aspV,aspV,0,NE,PEC,
7949,109,83333,asr,asr,0,NE,PEC,
7950,109,83333,astA,astA,0,NE,PEC,
7951,109,83333,astB,astB,0,NE,PEC,
7952,109,83333,astC,astC,0,NE,PEC,
7953,109,83333,astD,astD,0,NE,PEC,
7954,109,83333,astE,astE,0,NE,PEC,
7955,109,83333,atoA,atoA,0,NE,PEC,
7956,109,83333,atoB,atoB,0,NE,PEC,
7957,109,83333,atoC,atoC,0,NE,PEC,
7958,109,83333,atoD,atoD,0,NE,PEC,
7959,109,83333,atoE,atoE,0,NE,PEC,
7960,109,83333,atoS,atoS,0,NE,PEC,
7961,109,83333,atpA,atpA,0,NE,PEC,
7962,109,83333,atpB,atpB,0,NE,PEC,
7963,109,83333,atpC,atpC,0,NE,PEC,
7964,109,83333,atpD,atpD,0,NE,PEC,
7965,109,83333,atpE,atpE,0,NE,PEC,
7966,109,83333,atpF,atpF,0,NE,PEC,
7967,109,83333,atpG,atpG,0,NE,PEC,
7968,109,83333,atpH,atpH,0,NE,PEC,
7969,109,83333,atpI,atpI,0,NE,PEC,
7970,109,83333,avtA,avtA,0,NE,PEC,
7971,109,83333,azoR,azoR,0,NE,PEC,
7972,109,83333,bacA,bacA,0,NE,PEC,
7973,109,83333,baeR,baeR,0,NE,PEC,
7974,109,83333,baeS,baeS,0,NE,PEC,
7975,109,83333,barA,barA,0,NE,PEC,
7976,109,83333,basR,basR,0,NE,PEC,
7977,109,83333,basS,basS,0,NE,PEC,
7978,109,83333,bax,bax,0,NE,PEC,
7979,109,83333,bcp,bcp,0,NE,PEC,
7980,109,83333,bcr,bcr,0,NE,PEC,
7981,109,83333,bcsA,bcsA,0,NE,PEC,
7982,109,83333,bcsB,bcsB,0,NE,PEC,
7983,109,83333,bcsC,bcsC,0,NE,PEC,
