S5WMX5_DROME	FBgn0030057
Q9VYG3_DROME	FBgn0030456
METL_DROME	FBgn0035247
ZCHC8_DROME	FBgn0035021
Q7K569_DROME	FBgn0022160
Q7KMM4_DROME	FBgn0027588
SLP1_DROME	FBgn0003430
Q961V5_DROME	FBgn0003430
CHIF_DROME	FBgn0000307
M9PD16_DROME	FBgn0000307
A0A0B4KF54_DROME	FBgn0085421
A1Z6P8_DROME	FBgn0085421
Q7K3Z6_DROME	FBgn0085421
Q9VPE2_DROME	FBgn0037001
E3CTP7_DROME	FBgn0035060
Q8MMD2_DROME	FBgn0035060
Q8MMD3_DROME	FBgn0035060
Q9W111_DROME	FBgn0035060
M9PE29_DROME	FBgn0030065
Q9W3B8_DROME	FBgn0030065
Q9VR70_DROME	FBgn0031201
2AAA_DROME	FBgn0260439
H5V8B8_DROME	FBgn0260439
M9MQH9_DROME	FBgn0260439
M9NDI6_DROME	FBgn0260439
A0A0B4KGJ9_DROME	FBgn0263117
A0A126GV14_DROME	FBgn0263117
Q9VD37_DROME	FBgn0263117
Q9VKS9_DROME	FBgn0043825
M9MRD9_DROME	FBgn0031990
Q9VLS7_DROME	FBgn0031990
X2JDJ3_DROME	FBgn0031990
Q8IPD6_DROME	FBgn0051875
Q9VSB6_DROME	FBgn0035823
CSKP_DROME	FBgn0013759
A0A0B4KH39_DROME	FBgn0013759
A8JR71_DROME	FBgn0013759
A8JR72_DROME	FBgn0013759
E1JIS7_DROME	FBgn0013759
A1Z8G3_DROME	FBgn0033589
Q9W4E6_DROME	FBgn0029745
Q9VD58_DROME	FBgn0038922
Q7PL26_DROME	FBgn0267861
OR22A_DROME	FBgn0026398
Q9VE38_DROME	FBgn0038647
Q9XZU0_DROME	FBgn0023489
SPZ3_DROME	FBgn0031959
Q7K130_DROME	FBgn0033206
Q9VCT9_DROME	FBgn0039025
Q9VN10_DROME	FBgn0261434
ERCC3_DROME	FBgn0001179
B7Z0G1_DROME	FBgn0001179
Q9VTV4_DROME	FBgn0036266
Q9W1R1_DROME	FBgn0041712
A8JNX0_DROME	FBgn0037182
M9PG88_DROME	FBgn0037182
M9PGG0_DROME	FBgn0037182
M9PIL3_DROME	FBgn0037182
Q9VNS2_DROME	FBgn0037182
RL5_DROME	FBgn0064225
R9Q794_DROME	FBgn0064225
CCNC_DROME	FBgn0004597
SIR7_DROME	FBgn0039631
M9PHV0_DROME	FBgn0035955
Q9VST1_DROME	FBgn0035955
A0A0B4K6E6_DROME	FBgn0037890
Q8INK7_DROME	FBgn0037890
Q9VGQ2_DROME	FBgn0037890
Q4V3F5_DROME	FBgn0033993
Q9V449_DROME	FBgn0028416
Q9V449_DROME	FBgn0028415
Q7KW25_DROME	FBgn0040345
Q7KT85_DROME	FBgn0028537
Q7KT85_DROME	FBgn0260954
Q9VF68_DROME	FBgn0038334
Q9VSM9_DROME	FBgn0035918
Q9VDQ3_DROME	FBgn0038768
A0A0B4KFX1_DROME	FBgn0050296
A0A0B4LH23_DROME	FBgn0050296
E1JGP2_DROME	FBgn0050296
E1JGP3_DROME	FBgn0050296
E1JGP4_DROME	FBgn0050296
E1JGP5_DROME	FBgn0050296
E1JGP6_DROME	FBgn0050296
E1JGP7_DROME	FBgn0050296
E1JGP8_DROME	FBgn0050296
E1JGP9_DROME	FBgn0050296
E1JGQ0_DROME	FBgn0050296
E1JGQ1_DROME	FBgn0050296
Q058V3_DROME	FBgn0050296
Q9W2N3_DROME	FBgn0050296
Q9W2N4_DROME	FBgn0050296
Q9VKB3_DROME	FBgn0028707
PGPLF_DROME	FBgn0035977
Q9W0D7_DROME	FBgn0035233
Q9VHN0_DROME	FBgn0037614
MTTF_DROME	FBgn0028530
Q9GU23_DROME	FBgn0035050
Q9W121_DROME	FBgn0035050
Q9VTP8_DROME	FBgn0040816
Q9VNU3_DROME	FBgn0037162
WAGC_DROME	FBgn0035120
KL98A_DROME	FBgn0004387
Q9VHB5_DROME	FBgn0261049
A0A0B4JCT7_DROME	FBgn0259682
A0A0B4KFV2_DROME	FBgn0259682
A0A0B4KG78_DROME	FBgn0259682
B7YZK4_DROME	FBgn0259682
B7YZK5_DROME	FBgn0259682
B7YZK6_DROME	FBgn0259682
Q7K1Q6_DROME	FBgn0259682
Q9TVI0_DROME	FBgn0028422
Q9VIJ5_DROME	FBgn0032884
Q9VZ60_DROME	FBgn0030243
Q9VB90_DROME	FBgn0039474
Q9VLY7_DROME	FBgn0041181
Q9W4Z2_DROME	FBgn0040389
Q9VPU6_DROME	FBgn0031289
Q961R9_DROME	FBgn0038407
Q9VN30_DROME	FBgn0037254
APG12_DROME	FBgn0036255
Q8SZB7_DROME	FBgn0047178
NDUF4_DROME	FBgn0037777
CCD1P_DROME	FBgn0050489
A0A0B4LF45_DROME	FBgn0050489
Q9VFT9_DROME	FBgn0038161
A1ZAR6_DROME	FBgn0034205
Q9V3Y0_DROME	FBgn0261881
GILT2_DROME	FBgn0039099
Q9VU93_DROME	FBgn0040812
PINO_DROME	FBgn0016926
MDR49_DROME	FBgn0004512
E1JH49_DROME	FBgn0004512
M9PB98_DROME	FBgn0032330
Q9VKL0_DROME	FBgn0032330
IR25A_DROME	FBgn0031634
M9PC56_DROME	FBgn0031634
Q9VR32_DROME	FBgn0031634
Q8T9H8_DROME	FBgn0051908
NOC_DROME	FBgn0005771
X2J9V3_DROME	FBgn0005771
Q8MSB3_DROME	FBgn0033186
Q9VYU5_DROME	FBgn0030334
Q9W112_DROME	FBgn0035059
Q7KMH9_DROME	FBgn0027499
B5X533_DROME	FBgn0030706
Q9VXM0_DROME	FBgn0030706
A1Z9K0_DROME	FBgn0033889
A0A0B4LH70_DROME	FBgn0034741
Q9W239_DROME	FBgn0034741
RS21_DROME	FBgn0015521
M9PEA6_DROME	FBgn0015521
A0A0B4KG38_DROME	FBgn0264273
A1ZAF5_DROME	FBgn0264273
Q29QV5_DROME	FBgn0264273
Q9VFK5_DROME	FBgn0038223
SHEP_DROME	FBgn0052423
A0A0B4KFL6_DROME	FBgn0037712
Q9VHB4_DROME	FBgn0037712
A8DZ02_DROME	FBgn0259984
A8DZ03_DROME	FBgn0259984
Q59DZ3_DROME	FBgn0259984
Q9VJW9_DROME	FBgn0259984
E2QCY2_DROME	FBgn0036821
M9PCX4_DROME	FBgn0036821
Q9VVT8_DROME	FBgn0036821
A0A0B4KEN4_DROME	FBgn0015838
A1Z7N9_DROME	FBgn0015838
DORS_DROME	FBgn0260632
C7LA93_DROME	FBgn0260632
E1JHK3_DROME	FBgn0260632
4ET_DROME	FBgn0052016
Q9VKX6_DROME	FBgn0032235
RCL1_DROME	FBgn0020909
M9PFA9_DROME	FBgn0036294
Q9VTY7_DROME	FBgn0036294
HAM_DROME	FBgn0045852
M9PBD2_DROME	FBgn0045852
M9PD45_DROME	FBgn0045852
M9PDM9_DROME	FBgn0045852
DRE2_DROME	FBgn0001977
Q7K3J0_DROME	FBgn0284436
Q9W2E8_DROME	FBgn0034645
M9PIC9_DROME	FBgn0037025
Q9VPB2_DROME	FBgn0037025
ATU_DROME	FBgn0019637
MIRO_DROME	FBgn0039140
A0A0B4J3Z9_DROME	FBgn0039140
A0A0B4KGW0_DROME	FBgn0039140
AP2A_DROME	FBgn0264855
Q9VEP6_DROME	FBgn0038467
M9MSL3_DROME	FBgn0026418
Q9VUC1_DROME	FBgn0026418
A1Z8H3_DROME	FBgn0033599
Q9VH59_DROME	FBgn0037761
A0A0B4KEX6_DROME	FBgn0028371
A0A0B4KFF9_DROME	FBgn0028371
E1JGS7_DROME	FBgn0028371
Q8MME5_DROME	FBgn0028371
Q9W204_DROME	FBgn0028371
Q9W205_DROME	FBgn0028371
HFW2_DROME	FBgn0034262
TOP2_DROME	FBgn0284220
Q9VP87_DROME	FBgn0037044
Q4V528_DROME	FBgn0051860
Q9VKA3_DROME	FBgn0051860
Q7K180_DROME	FBgn0010342
Q5BIC3_DROME	FBgn0025185
EMAL_DROME	FBgn0259099
M9PF94_DROME	FBgn0259099
M9PFN2_DROME	FBgn0259099
Q7JW03_DROME	FBgn0029996
A0A0B4KI07_DROME	FBgn0039633
A0A0B4KI51_DROME	FBgn0039633
Q9VAP9_DROME	FBgn0039633
A8JUP8_DROME	FBgn0259231
H9ZYQ1_DROME	FBgn0038466
Q95TJ6_DROME	FBgn0038466
Q9VJB0_DROME	FBgn0032660
M9NDP0_DROME	FBgn0262160
M9PBA9_DROME	FBgn0262160
M9PCU7_DROME	FBgn0262160
Q9VK42_DROME	FBgn0262160
PKN_DROME	FBgn0020621
A0A0B4JD07_DROME	FBgn0020621
A0A0B4K6U3_DROME	FBgn0020621
A0A0B4K727_DROME	FBgn0020621
A0A0B4LEI8_DROME	FBgn0020621
A0A0B4LEY5_DROME	FBgn0020621
A0A0B4LF03_DROME	FBgn0020621
A0A0B4LFX2_DROME	FBgn0020621
A1Z7T1_DROME	FBgn0020621
A1Z7T2_DROME	FBgn0020621
A1Z7T3_DROME	FBgn0020621
A1Z7T4_DROME	FBgn0020621
A8DY76_DROME	FBgn0020621
E1JH15_DROME	FBgn0020621
NACH_DROME	FBgn0024319
A0A384SX96_DROME	FBgn0024319
A0A384TM68_DROME	FBgn0024319
Q9VRI1_DROME	FBgn0031176
TRISS_DROME	FBgn0038343
Q9VMC3_DROME	FBgn0051637
CAD96_DROME	FBgn0022800
Q9VCA1_DROME	FBgn0286199
A8QHX1_DROME	FBgn0087011
E8Z4Z5_DROME	FBgn0087011
E8Z4Z6_DROME	FBgn0087011
Q5BIB8_DROME	FBgn0087011
Q0E8E6_DROME	FBgn0036454
Q7KUK9_DROME	FBgn0036454
Q7K003_DROME	FBgn0033341
A1Z8D4_DROME	FBgn0033566
A1Z8D5_DROME	FBgn0033566
A1Z8D6_DROME	FBgn0033566
A0A0B4KEZ3_DROME	FBgn0034317
CECA1_DROME	FBgn0000276
CECA2_DROME	FBgn0000277
Q9W0L6_DROME	FBgn0035173
Q9VU89_DROME	FBgn0036377
Q9VAW3_DROME	FBgn0039580
