P92177	14-3-3epsilon	FBgn0020238
Q24031	dac	FBgn0005677
Q2EJQ6	Catsup	FBgn0002022
Q2EJP2	Catsup	FBgn0002022
Q24030	dac	FBgn0005677
Q6SAC4	Egfr	FBgn0003731
Q2EJD8	Catsup	FBgn0002022
Q6SAL9	Egfr	FBgn0003731
Q86BZ4	Hsf	FBgn0001222
Q6SAF7	Egfr	FBgn0003731
Q3YNF1	scb	FBgn0286785
Q6SBW4	Egfr	FBgn0003731
Q8MZ50	Zfrp8	FBgn0021875
Q6SAM6	Egfr	FBgn0003731
Q9W1M6	apt	FBgn0015903
Q7KQ58	neb	FBgn0004374
Q6SAB3	Egfr	FBgn0003731
Q6SBF7	Egfr	FBgn0003731
Q70BZ5	mod(mdg4)	FBgn0002781
Q8SZT5	shn	FBgn0003396
Q6SAP3	Egfr	FBgn0003731
Q6SAW6	Egfr	FBgn0003731
O17143	Sin3A	FBgn0022764
E1JIT0	how	FBgn0264491
Q6SAE3	Egfr	FBgn0003731
Q2EJE6	Catsup	FBgn0002022
Q24410	Mhc	FBgn0264695
Q6SAC8	Egfr	FBgn0003731
Q6SAU1	Egfr	FBgn0003731
Q8T962	Ten-m	FBgn0004449
Q24575	Ubi-p63E	FBgn0003943
Q6SAU9	Egfr	FBgn0003731
A0A0B4KI27	Fer1HCH	FBgn0015222
O16114	apt	FBgn0015903
Q6SAQ8	Egfr	FBgn0003731
A0A0B4K7Z6	chn	FBgn0015371
Q2EJE9	Catsup	FBgn0002022
Q6SAU8	Egfr	FBgn0003731
Q6SAW7	Egfr	FBgn0003731
Q24576	Ubi-p63E	FBgn0003943
Q70BZ4	mod(mdg4)	FBgn0002781
Q24028	dac	FBgn0005677
Q86LF4	vimar	FBgn0022960
Q95SD4	Eip75B	FBgn0000568
Q9VQM0	toc	FBgn0015600
Q6SAM3	Egfr	FBgn0003731
Q6SAX6	Egfr	FBgn0003731
Q6SB00	Egfr	FBgn0003731
Q8MSM5	Ubi-p63E	FBgn0003943
Q6SAL5	Egfr	FBgn0003731
Q6SAJ7	Egfr	FBgn0003731
Q6SBE5	Egfr	FBgn0003731
Q6SAH2	Egfr	FBgn0003731
O18660	vri	FBgn0016076
Q6SAD3	Egfr	FBgn0003731
Q8SY38	nos	FBgn0002962
Q6SAC2	Egfr	FBgn0003731
Q8MRP3	svp	FBgn0003651
Q6SAZ3	Egfr	FBgn0003731
Q8SXZ0	smid	FBgn0016983
Q6SAV2	Egfr	FBgn0003731
Q6SBC0	Egfr	FBgn0003731
Q8MRK0	for	FBgn0000721
Q2EJJ6	Catsup	FBgn0002022
Q6SAZ6	Egfr	FBgn0003731
Q6SBZ9	Egfr	FBgn0003731
Q24163	sr	FBgn0003499
Q6SAN0	Egfr	FBgn0003731
Q2EJG6	Catsup	FBgn0002022
Q6SAW1	Egfr	FBgn0003731
Q6SB15	Egfr	FBgn0003731
O46112	toc	FBgn0015600
Q99348	Ubi-p63E	FBgn0003943
Q6SAU7	Egfr	FBgn0003731
Q8SZG6	dap	FBgn0010316
Q6SAX1	Egfr	FBgn0003731
Q6SAM5	Egfr	FBgn0003731
A0A0B4K876	chn	FBgn0015371
M9PCH2	toc	FBgn0015600
Q5G1Z3	emc	FBgn0000575
M9PFM7	Trl	FBgn0013263
A0A0B4K7Q9	chn	FBgn0015371
Q6SBF5	Egfr	FBgn0003731
Q2EJE2	Catsup	FBgn0002022
Q6SAZ5	Egfr	FBgn0003731
Q2EJF3	Catsup	FBgn0002022
Q8IGR8	Xe7	FBgn0010772
Q6SAW9	Egfr	FBgn0003731
Q99351	Ubi-p63E	FBgn0003943
Q6SAR2	Egfr	FBgn0003731
Q6SB11	Egfr	FBgn0003731
Q6SAA5	Egfr	FBgn0003731
Q6SAK4	Egfr	FBgn0003731
Q9U912	lace	FBgn0002524
Q2PDY2	Trl	FBgn0013263
Q6SAS9	Egfr	FBgn0003731
Q6SAB8	Egfr	FBgn0003731
Q6SBA8	Egfr	FBgn0003731
Q6SAX8	Egfr	FBgn0003731
Q2EJR1	Catsup	FBgn0002022
Q7KTT0	Xe7	FBgn0010772
Q24577	Ubi-p63E	FBgn0003943
Q6SBC2	Egfr	FBgn0003731
Q6SAG8	Egfr	FBgn0003731
Q6SC18	Egfr	FBgn0003731
Q24029	dac	FBgn0005677
Q6SBY5	Egfr	FBgn0003731
Q6SAL6	Egfr	FBgn0003731
Q2EJR0	Catsup	FBgn0002022
Q6SAF4	Egfr	FBgn0003731
M9PBW7	toc	FBgn0015600
Q6SAG7	Egfr	FBgn0003731
Q6SAK1	Egfr	FBgn0003731
Q6SAD0	Egfr	FBgn0003731
Q6SAS8	Egfr	FBgn0003731
Q6SAJ8	Egfr	FBgn0003731
Q6SAS1	Egfr	FBgn0003731
Q6SAM1	Egfr	FBgn0003731
Q94544	sktl	FBgn0016984
Q2EJD1	Catsup	FBgn0002022
Q27933	tkv	FBgn0003716
Q6SAV3	Egfr	FBgn0003731
Q6SAG2	Egfr	FBgn0003731
Q9VIR9	fs(2)ltoPP43	FBgn0004811
Q6SB14	Egfr	FBgn0003731
O44114	rnh1	FBgn0023171
Q0E8U3	toc	FBgn0015600
Q86PC1	spag	FBgn0015544
O77025	Sin3A	FBgn0022764
Q6SAM2	Egfr	FBgn0003731
Q0PQ31	Klp61F	FBgn0004378
M9PDG3	stc	FBgn0001978
Q0PQ30	Klp61F	FBgn0004378
Q6SAF1	Egfr	FBgn0003731
Q6SAJ1	Egfr	FBgn0003731
Q6SAW5	Egfr	FBgn0003731
Q6SAG3	Egfr	FBgn0003731
Q6SAA0	Egfr	FBgn0003731
O17142	Sin3A	FBgn0022764
Q6SAY0	Egfr	FBgn0003731
Q8IH27	awd	FBgn0000150
Q6SAG9	Egfr	FBgn0003731
Q5U175	Src42A	FBgn0264959
Q70BZ1	mod(mdg4)	FBgn0002781
Q9U4U2	Fer2LCH	FBgn0015221
Q8MSD4	pros	FBgn0004595
Q59E20	vn	FBgn0003984
O17430	apt	FBgn0015903
Q6SAH5	Egfr	FBgn0003731
Q6SAH8	Egfr	FBgn0003731
Q86BZ3	Hsf	FBgn0001222
Q6SBB1	Egfr	FBgn0003731
Q6SBY6	Egfr	FBgn0003731
Q6SAC9	Egfr	FBgn0003731
Q6SAK6	Egfr	FBgn0003731
Q6SAM0	Egfr	FBgn0003731
P91668	dap	FBgn0010316
Q6SAE6	Egfr	FBgn0003731
Q6SAJ9	Egfr	FBgn0003731
Q6SAR4	Egfr	FBgn0003731
Q6SAF2	Egfr	FBgn0003731
Q24218	dock	FBgn0010583
A0A0B4K8B2	Nop60B	FBgn0259937
A1Z768	rnh1	FBgn0023171
Q86BZ5	Hsf	FBgn0001222
Q2EJM0	Catsup	FBgn0002022
Q6SAR9	Egfr	FBgn0003731
Q6SAU4	Egfr	FBgn0003731
Q6SAG5	Egfr	FBgn0003731
Q6SAS4	Egfr	FBgn0003731
Q6SAY3	Egfr	FBgn0003731
V9GZB5	emc	FBgn0000575
Q6SAT3	Egfr	FBgn0003731
Q6SAD8	Egfr	FBgn0003731
Q6SAT4	Egfr	FBgn0003731
Q6SAL4	Egfr	FBgn0003731
A0A1W5Q0S1	for	FBgn0000721
Q960F4	neb	FBgn0004374
Q6SAL3	Egfr	FBgn0003731
Q9U7A3	Fer2LCH	FBgn0015221
Q2EJF5	Catsup	FBgn0002022
Q6SAT5	Egfr	FBgn0003731
Q99347	Ubi-p63E	FBgn0003943
Q6SAB9	Egfr	FBgn0003731
Q6SBH9	Egfr	FBgn0003731
P91663	barr	FBgn0014127
A8DYU0	toc	FBgn0015600
Q2EJA5	Catsup	FBgn0002022
Q6SAX5	Egfr	FBgn0003731
Q8MT23	RpL30	FBgn0086710
Q2EJQ0	Catsup	FBgn0002022
Q6SAM9	Egfr	FBgn0003731
Q6SAT1	Egfr	FBgn0003731
O46111	Uba1	FBgn0023143
Q2EJQ9	Catsup	FBgn0002022
Q6SAA8	Egfr	FBgn0003731
Q7KYD3	prod	FBgn0014269
O44122	zf30C	FBgn0270924
Q6SAY2	Egfr	FBgn0003731
Q6SB26	Egfr	FBgn0003731
Q6SC37	Egfr	FBgn0003731
Q8MYL2	Trl	FBgn0013263
Q6SAQ5	Egfr	FBgn0003731
Q86NZ5	Adk2	FBgn0036337
Q6SAA3	Egfr	FBgn0003731
Q6SAK7	Egfr	FBgn0003731
Q6SB05	Egfr	FBgn0003731
Q6SAX2	Egfr	FBgn0003731
Q6SAL2	Egfr	FBgn0003731
Q6SAA9	Egfr	FBgn0003731
Q6SAB6	Egfr	FBgn0003731
A4V1Y6	Trl	FBgn0013263
Q6SAA1	Egfr	FBgn0003731
Q95TK4	Xe7	FBgn0010772
Q9VNG4	Xe7	FBgn0010772
Q7KLX0	Neos	FBgn0024542
Q2EJQ4	Catsup	FBgn0002022
Q2EJI9	Catsup	FBgn0002022
Q70BZ3	mod(mdg4)	FBgn0002781
Q8SZW1	Egfr	FBgn0003731
Q8T0H7	crp	FBgn0001994
Q86BZ2	Hsf	FBgn0001222
Q6SAH3	Egfr	FBgn0003731
Q6SAZ4	Egfr	FBgn0003731
Q6SAV9	Egfr	FBgn0003731
Q7JP26	sr	FBgn0003499
Q6SBB6	Egfr	FBgn0003731
Q6SAJ6	Egfr	FBgn0003731
Q6SAC6	Egfr	FBgn0003731
Q2EJQ8	Catsup	FBgn0002022
Q6SAB5	Egfr	FBgn0003731
P91670	klg	FBgn0017590
Q6SAT0	Egfr	FBgn0003731
Q6SAA2	Egfr	FBgn0003731
Q6SAK2	Egfr	FBgn0003731
A0A0B4JD39	ttk	FBgn0003870
A0A0B4KHV5	how	FBgn0264491
Q6SAE4	Egfr	FBgn0003731
Q6SAI8	Egfr	FBgn0003731
Q6SAS5	Egfr	FBgn0003731
Q24411	Mhc	FBgn0264695
Q6SAU2	Egfr	FBgn0003731
Q6SAW3	Egfr	FBgn0003731
Q960C3	Sin3A	FBgn0022764
Q8MRI5	toc	FBgn0015600
Q6SAL0	Egfr	FBgn0003731
Q86BK4	fs(2)ltoPP43	FBgn0004811
Q70BZ2	mod(mdg4)	FBgn0002781
Q95S45	lola	FBgn0283521
Q6SAK5	Egfr	FBgn0003731
Q6SAQ9	Egfr	FBgn0003731
Q9VS62	smid	FBgn0016983
Q9VCP5	cnc	FBgn0262975
Q6SAC1	Egfr	FBgn0003731
Q6SAX4	Egfr	FBgn0003731
Q6SB62	Egfr	FBgn0003731
Q6SAS2	Egfr	FBgn0003731
Q6SAL7	Egfr	FBgn0003731
Q6SA99	Egfr	FBgn0003731
Q6SAW4	Egfr	FBgn0003731
Q2EJD4	Catsup	FBgn0002022
O44116	vimar	FBgn0022960
Q7JNK2	sktl	FBgn0016984
Q6SAF6	Egfr	FBgn0003731
Q6SAE2	Egfr	FBgn0003731
Q6SAJ0	Egfr	FBgn0003731
Q6SBV4	Egfr	FBgn0003731
Q6SAU0	Egfr	FBgn0003731
Q6SAT9	Egfr	FBgn0003731
Q2EJR6	Catsup	FBgn0002022
Q95RS2	fs(2)ltoPP43	FBgn0004811
Q24027	dac	FBgn0005677
Q6SAG0	Egfr	FBgn0003731
M9PC13	toc	FBgn0015600
Q6SAA7	Egfr	FBgn0003731
P91666	Rca1	FBgn0017551
Q6SAY8	Egfr	FBgn0003731
Q6SAS0	Egfr	FBgn0003731
Q86NZ2	Egfr	FBgn0003731
Q6SAH0	Egfr	FBgn0003731
Q7JPZ2	Ubi-p63E	FBgn0003943
Q24021	Cdc27	FBgn0012058
Q6SAG6	Egfr	FBgn0003731
O16866	neb	FBgn0004374
Q6SAJ2	Egfr	FBgn0003731
Q2EJC0	Catsup	FBgn0002022
Q6SAZ2	Egfr	FBgn0003731
Q6SB52	Egfr	FBgn0003731
Q6SB25	Egfr	FBgn0003731
Q8MLR4	apt	FBgn0015903
Q2EJH2	Catsup	FBgn0002022
Q6SAK8	Egfr	FBgn0003731
Q6SAY1	Egfr	FBgn0003731
Q8MSJ7	mod(mdg4)	FBgn0002781
Q6SB67	Egfr	FBgn0003731
M9PG97	fs(2)ltoPP43	FBgn0004811
O61646	Srp54	FBgn0024285
Q6LEH5	Egfr	FBgn0003731
Q6SAJ3	Egfr	FBgn0003731
Q6SAD7	Egfr	FBgn0003731
Q6SAV4	Egfr	FBgn0003731
M9PED5	toc	FBgn0015600
Q24605	shn	FBgn0003396
Q6SAZ1	Egfr	FBgn0003731
Q6SAV5	Egfr	FBgn0003731
Q6SAH4	Egfr	FBgn0003731
Q2EJK8	Catsup	FBgn0002022
Q6SAI4	Egfr	FBgn0003731
Q6SAE9	Egfr	FBgn0003731
Q6SB01	Egfr	FBgn0003731
A0A4D6K344	for	FBgn0000721
Q6SAZ7	Egfr	FBgn0003731
Q95SJ7	sgl	FBgn0261445
Q6SAP7	Egfr	FBgn0003731
Q7JPL9	lola	FBgn0283521
