P92177	14-3-3epsilon	FBgn0020238
Q9VA83	Fer2LCH	FBgn0015221
D2NUK9	hoip	FBgn0286786
Q9VIE7	bur	FBgn0000239
A4V0W1	spi	FBgn0005672
M9NED3	Eip75B	FBgn0000568
Q8IHH3	sm	FBgn0003435
C7LA75	Hsc70-4	FBgn0266599
O61362	crol	FBgn0020309
A4V346	Dl	FBgn0000463
A4V2S3	CtBP	FBgn0020496
B8A405	Fer1HCH	FBgn0015222
Q9VMV5	vkg	FBgn0016075
Q95SZ9	mub	FBgn0262737
Q7KRU8	Fer1HCH	FBgn0015222
A0A0B4KH10	Stat92E	FBgn0016917
Q9V3F2	lace	FBgn0002524
A4V0R4	CycE	FBgn0010382
A4V047	bowl	FBgn0004893
G7H829	ck	FBgn0000317
Q0E914	sm	FBgn0003435
A0A0B4K6E1	cnc	FBgn0262975
Q9VJ19	RpL30	FBgn0086710
Q7KV90	msn	FBgn0010909
D0Z760	Psc	FBgn0005624
Q2EJP5	Catsup	FBgn0002022
Q9VPM0	Rpp30	FBgn0283652
A1ZBN3	sm	FBgn0003435
Q9VPL9	kis	FBgn0266557
Q7YU60	babo	FBgn0011300
A0A0B4LF57	Cam	FBgn0000253
Q5U0Y0	Sin3A	FBgn0022764
Q0E9C5	shn	FBgn0003396
Q7JY33	rnh1	FBgn0023171
A4V3J9	Doa	FBgn0265998
Q7KSE4	repo	FBgn0011701
Q1LZ07	CrebA	FBgn0004396
Q7KTP1	tkv	FBgn0003716
A4IJ59	mub	FBgn0262737
Q7KN61	Fpps	FBgn0025373
Q7KU82	smid	FBgn0016983
P91632	mub	FBgn0262737
Q9VIP9	barr	FBgn0014127
E1JIP0	sr	FBgn0003499
D5AEJ9	sm	FBgn0003435
Q7JNL9	dap	FBgn0010316
Q8T0L3	Uba1	FBgn0023143
Q9VIP4	neb	FBgn0004374
Q9V3E9	spag	FBgn0015544
Q7JMZ7	sm	FBgn0003435
A1ZAN6	RhoGEF2	FBgn0023172
O61602	apt	FBgn0015903
A0A0B4KGG8	Atpalpha	FBgn0002921
Q8IPZ2	toc	FBgn0015600
E8NHB3	brat	FBgn0010300
Q9VS37	Cdc27	FBgn0012058
D1Z399	dia	FBgn0011202
Q8MRK4	crol	FBgn0020309
M9NE89	Lam	FBgn0002525
Q9V3A7	glu	FBgn0015391
P91638	smid	FBgn0016983
Q7KNQ9	cnk	FBgn0286070
Q8IN02	Dph5	FBgn0024558
X2JDI1	mts	FBgn0004177
Q8IG84	Tm1	FBgn0003721
Q3YND2	esg	FBgn0287768
Q9V406	crp	FBgn0001994
A0A0B4KHJ1	eff	FBgn0011217
Q6SB53	Egfr	FBgn0003731
Q5G209	emc	FBgn0000575
Q6SC05	Egfr	FBgn0003731
Q6SBB3	Egfr	FBgn0003731
Q9VQ29	RFeSP	FBgn0021906
Q6SAI0	Egfr	FBgn0003731
Q7K4Q9	Hmgs	FBgn0010611
Q99349	Ubi-p63E	FBgn0003943
Q7KV88	msn	FBgn0010909
M9PG47	RpS26	FBgn0261597
Q6SBD4	Egfr	FBgn0003731
Q9U9Q2	Neos	FBgn0024542
A1Z6S7	vimar	FBgn0022960
Q6SBE9	Egfr	FBgn0003731
Q6NND8	sm	FBgn0003435
Q4H2F9	Hsf	FBgn0001222
Q6NN28	Tm1	FBgn0003721
Q9VM76	Rca1	FBgn0017551
A2VEF7	Dll	FBgn0000157
Q9VDE3	slmb	FBgn0283468
Q2EJK9	Catsup	FBgn0002022
Q7K5M6	Sip1	FBgn0010620
A0A0B4K6G8	cnc	FBgn0262975
Q9VV77	l(3)73Ah	FBgn0002283
A4V1F9	Ubi-p63E	FBgn0003943
Q7JNE1	prod	FBgn0014269
Q6SAN2	Egfr	FBgn0003731
Q9VMT1	tkv	FBgn0003716
Q2EJB1	Catsup	FBgn0002022
Q2EJL9	Catsup	FBgn0002022
Q9V3I2	Rab5	FBgn0014010
Q6SBE7	Egfr	FBgn0003731
A0A0B4K7A3	chn	FBgn0015371
Q6SAR7	Egfr	FBgn0003731
Q6SBC1	Egfr	FBgn0003731
Q2EJQ2	Catsup	FBgn0002022
A4V0N4	Vha68-2	FBgn0263598
O61361	crol	FBgn0020309
Q95TA3	Tm1	FBgn0003721
Q6SAB4	Egfr	FBgn0003731
Q6SAN8	Egfr	FBgn0003731
Q9VTD3	klu	FBgn0013469
Q53XG2	dally	FBgn0263930
Q2EJB6	Catsup	FBgn0002022
Q6SBE1	Egfr	FBgn0003731
Q2EJM6	Catsup	FBgn0002022
Q867H6	Hsf	FBgn0001222
Q6SAN1	Egfr	FBgn0003731
Q6SBD2	Egfr	FBgn0003731
Q7JZD3	Eb1	FBgn0027066
A0A0B4KEH0	14-3-3zeta	FBgn0004907
Q9W1A3	Zfrp8	FBgn0021875
Q9VMS5	Bub1	FBgn0031696
A4V1N8	Prm	FBgn0003149
Q6SB80	Egfr	FBgn0003731
Q8IN91	sr	FBgn0003499
Q8I0T0	Fer1HCH	FBgn0015222
Q4H2F7	Hsf	FBgn0001222
D0IQJ8	Csp	FBgn0004179
Q2EJN0	Catsup	FBgn0002022
Q59E58	zip	FBgn0265434
Q2EJP0	Catsup	FBgn0002022
A1Z927	Sin3A	FBgn0022764
M9PD75	porin	FBgn0004363
Q7KSD3	fray	FBgn0023083
A4V2A4	mub	FBgn0262737
Q2EJL5	Catsup	FBgn0002022
H1UUB1	Syb	FBgn0003660
Q5U110	Dad	FBgn0020493
Q6SAX7	Egfr	FBgn0003731
A0A0B4LIA3	Akt1	FBgn0010379
Q9VCT4	klg	FBgn0017590
Q6SAQ3	Egfr	FBgn0003731
A0A0B4LJ12	awd	FBgn0000150
A1Z6S6	vimar	FBgn0022960
Q6SAI6	Egfr	FBgn0003731
X2J950	RpS13	FBgn0010265
Q9W2R3	sktl	FBgn0016984
Q9VL71	Srp54	FBgn0024285
Q2EJE1	Catsup	FBgn0002022
A4V1Y7	Trl	FBgn0013263
Q8IPZ1	toc	FBgn0015600
Q9VMS4	vri	FBgn0016076
Q5BI44	Xbp1	FBgn0021872
B3DNL7	how	FBgn0264491
Q24468	put	FBgn0003169
F0JAG0	Fur1	FBgn0004509
Q2EJR7	Catsup	FBgn0002022
E2QCY6	srp	FBgn0003507
O61360	crol	FBgn0020309
Q6SAQ7	Egfr	FBgn0003731
Q9XZ57	Eb1	FBgn0027066
Q6SBC3	Egfr	FBgn0003731
Q8IML9	Doa	FBgn0265998
A0A0B4KGD8	cpo	FBgn0263995
Q8IGY1	Tm1	FBgn0003721
Q9VPU1	dock	FBgn0010583
E1JGK7	lolal	FBgn0022238
B5RIE4	Kr	FBgn0001325
M9PG83	Csp	FBgn0004179
Q9VU39	Adk2	FBgn0036337
Q4H2F8	Hsf	FBgn0001222
Q6SB03	Egfr	FBgn0003731
Q6SC32	Egfr	FBgn0003731
E1JGV6	Nop60B	FBgn0259937
Q6SAK9	Egfr	FBgn0003731
Q59DZ3	kuz	FBgn0259984
Q6SAH6	Egfr	FBgn0003731
Q6SC19	Egfr	FBgn0003731
A0A0B4LGR6	corto	FBgn0010313
Q7KTN9	vri	FBgn0016076
Q2EJL0	Catsup	FBgn0002022
Q2EJR3	Catsup	FBgn0002022
Q2EJQ7	Catsup	FBgn0002022
Q6SBF8	Egfr	FBgn0003731
Q6SBE0	Egfr	FBgn0003731
Q6SAN7	Egfr	FBgn0003731
Q6SAF5	Egfr	FBgn0003731
Q6SAI9	Egfr	FBgn0003731
Q6SBF4	Egfr	FBgn0003731
Q7JMW3	Fer1HCH	FBgn0015222
Q8IMI5	spdo	FBgn0260440
Q6SBU8	Egfr	FBgn0003731
Q6SAN6	Egfr	FBgn0003731
Q6SC35	Egfr	FBgn0003731
Q6SBG5	Egfr	FBgn0003731
Q2EJM1	Catsup	FBgn0002022
Q6SAD9	Egfr	FBgn0003731
H1UUD2	Fer1HCH	FBgn0015222
Q6NR49	dac	FBgn0005677
Q2EJJ7	Catsup	FBgn0002022
Q2EJN2	Catsup	FBgn0002022
A0A0B4K6R9	Doa	FBgn0265998
Q5BIH1	klu	FBgn0013469
Q86B72	Doa	FBgn0265998
A0A0B4KFT4	CtBP	FBgn0020496
M9PD94	crol	FBgn0020309
A4UZ51	EcR	FBgn0000546
M9PCY3	crol	FBgn0020309
Q59DZ0	dac	FBgn0005677
M9PC08	ex	FBgn0004583
A0A0B4K7L1	Pfk	FBgn0003071
A1Z928	Sin3A	FBgn0022764
A0A0B4KGZ7	CtBP	FBgn0020496
B7YZQ0	bs	FBgn0004101
M9PF84	klu	FBgn0013469
A1ZAN7	RhoGEF2	FBgn0023172
A0A0B4KGE1	Stat92E	FBgn0016917
A0A0B4K7Q4	zip	FBgn0265434
A0A0B4KG68	Tm1	FBgn0003721
A0A0B4K612	pum	FBgn0003165
A0A0S0WIH4	Mhc	FBgn0264695
A0A0B4LF93	Sin3A	FBgn0022764
B7Z003	Gsc	FBgn0010323
A0A0B4KGD0	apt	FBgn0015903
M9PCT8	Abl	FBgn0000017
A0A0B4LGE6	mam	FBgn0002643
M9NEH9	mub	FBgn0262737
Q9XZC9	wb	FBgn0261563
Q8MLW0	Egfr	FBgn0003731
Q9VJK6	dac	FBgn0005677
Q2XXS4	18w	FBgn0287775
A0A0B4KGY5	nos	FBgn0002962
Q9VE62	fray	FBgn0023083
A0A0B4K7K7	wun	FBgn0016078
A0A0B4LFX4	cora	FBgn0010434
A0A0B4KFX5	CtBP	FBgn0020496
A0A0B4LGZ3	tws	FBgn0004889
M9NEL3	kis	FBgn0266557
M9PCT7	bun	FBgn0259176
B7YZQ7	Nurf-38	FBgn0016687
Q961H0	18w	FBgn0287775
A0A0B4KEV0	sm	FBgn0003435
M9PIK1	mub	FBgn0262737
M9NED0	Eip74EF	FBgn0000567
A0A0B4K630	pros	FBgn0004595
M9NDQ2	CycE	FBgn0010382
A0A0B4LFD2	Hsc70-5	FBgn0001220
Q7JQ37	tkv	FBgn0003716
Q961V5	slp1	FBgn0003430
A0A0B4KG59	put	FBgn0003169
A0A0B4KGG9	CtBP	FBgn0020496
Q26433	Mhc	FBgn0264695
A0A0B4KED9	cos	FBgn0000352
Q94902	kuz	FBgn0259984
M9PBX0	Mad	FBgn0011648
Q8SZT4	Dad	FBgn0020493
A0A0B4K629	lab	FBgn0002522
A0A0B4KHP4	cpo	FBgn0263995
A0A0B4K6J1	srp	FBgn0003507
M9PFS1	Abl	FBgn0000017
E1JHJ4	Mhc	FBgn0264695
M9NCY5	kis	FBgn0266557
B7Z0R6	Doa	FBgn0265998
M9PE27	trh	FBgn0262139
Q86B73	Doa	FBgn0265998
Q8WSN4	bur	FBgn0000239
A8DZ03	kuz	FBgn0259984
E1JHR9	for	FBgn0000721
