Q4V3L3	FBgn0264738
P10627	FBgn0003900
A1ZAT5	FBgn0034223
Q9VEU6	FBgn0038435
P18459	FBgn0005626
Q9VCT5	FBgn0039029
Q9VM19	FBgn0031907
Q8T8V8	FBgn0034842
A1Z866	FBgn0033504
Q7KSF4	FBgn0014141
Q9W0J9	FBgn0035189
O44117	FBgn0052190
Q8IR10	FBgn0052570
Q9BMG9	FBgn0038498
Q9VSZ6	FBgn0036000
Q9VQ73	FBgn0031388
Q7JRQ1	FBgn0053140
E1JH60	FBgn0033853
Q7K4V4	FBgn0285962
Q9VMM7	FBgn0031736
Q9VKV5	FBgn0032250
Q9N9Z7	FBgn0041707
Q9VIZ2	FBgn0086445
A8DYH2	FBgn0085220
Q9V7P1	FBgn0262560
A1Z9P1	FBgn0033921
Q9W213	FBgn0005631
Q9I7U5	FBgn0035295
Q9VT19	FBgn0036018
Q9VSL3	FBgn0086348
P22265	FBgn0003866
Q9VH39	FBgn0037777
Q9VZ22	FBgn0030274
Q9VNF4	FBgn0051546
Q9VKC6	FBgn0032399
Q9XZ25	FBgn0027518
Q9VP12	FBgn0052438
Q7JW73	FBgn0033373
Q9VH84	FBgn0037737
Q95029	FBgn0013770
Q9V455	FBgn0027338
Q7K550	FBgn0027619
P48596	FBgn0003162
Q9VNZ3	FBgn0037121
Q95R68	FBgn0030289
Q9VV46	FBgn0036619
Q9V9V8	FBgn0039860
Q9VLH9	FBgn0032069
Q9VM10	FBgn0025697
Q9XYP8	FBgn0001612
Q9V9W5	FBgn0039855
Q27268	FBgn0014189
Q8IQA6	FBgn0010825
Q9VY31	FBgn0030569
P31369	FBgn0004394
Q9VWR5	FBgn0004959
Q9VW23	FBgn0036895
Q24114	FBgn0263930
P54397	FBgn0013269
Q8IM87	FBgn0025726
M9MRI4	FBgn0051721
Q24423	FBgn0005771
Q8IR85	FBgn0030345
P54733	FBgn0010382
Q9VBN5	FBgn0039359
O18335	FBgn0015790
Q8T437	FBgn0032878
Q9VMH9	FBgn0031775
Q9W4Z6	FBgn0040392
Q24570	FBgn0015946
P52485	FBgn0015320
Q95RS0	FBgn0265523
Q9W3M4	FBgn0027280
Q9VQ59	FBgn0031378
Q9VSJ8	FBgn0266667
A8DYE8	FBgn0263980
Q9VKM6	FBgn0032321
Q9V574	FBgn0016970
Q9VRQ5	FBgn0035642
Q9W1Z6	FBgn0086408
Q9VY45	FBgn0030554
Q9VIE3	FBgn0051624
Q9VS62	FBgn0016983
Q9V428	FBgn0028546
Q9VAE4	FBgn0051036
Q9W5D6	FBgn0040382
A1ZA01	FBgn0034012
Q9VL63	FBgn0051712
Q9W4Y0	FBgn0040375
Q2PDV9	FBgn0031220
Q9VDZ2	FBgn0038685
P46223	FBgn0014026
A1Z9S5	FBgn0026427
Q9GNL3	FBgn0030090
Q95RQ9	FBgn0266418
Q9VLA2	FBgn0019809
Q24338	FBgn0000588
Q960Q9	FBgn0024975
Q8SY39	FBgn0052344
Q9VTJ3	FBgn0036168
Q8MMD0	FBgn0050423
Q9VBX5	FBgn0051108
Q9NHX7	FBgn0029134
Q9VGU5	FBgn0037855
P54631	FBgn0005590
Q9VCY7	FBgn0260942
Q4V3Z6	FBgn0260761
Q9VCF0	FBgn0039136
Q9W5C2	FBgn0040340
Q9W445	FBgn0029833
P49869	FBgn0014859
E1JIQ5	FBgn0260234
Q9VD87	FBgn0038897
Q4V4P1	FBgn0033945
Q95S37	FBgn0028434
Q9VI49	FBgn0026563
Q7K5N8	FBgn0034229
Q9VGC7	FBgn0037994
Q9V3P9	FBgn0028871
Q9VVW7	FBgn0036847
Q7KIF8	FBgn0026252
Q9VVU1	FBgn0036824
Q9VT50	FBgn0044051
Q9VQ43	FBgn0031364
P43248	FBgn0015546
Q9VH51	FBgn0267336
Q9W1A8	FBgn0034976
Q9VIT5	FBgn0032810
Q9U4G1	FBgn0028482
Q9VHV6	FBgn0037550
Q9VCI4	FBgn0039113
P08879	FBgn0000150
X2JDJ3	FBgn0031990
Q9VTP0	FBgn0259140
Q0KI91	FBgn0037798
Q8SXG2	FBgn0262976
Q8SYG3	FBgn0058045
Q9VA27	FBgn0015032
Q9VQX9	FBgn0031592
O62618	FBgn0015765
Q9VJY4	FBgn0032520
Q9VNJ5	FBgn0029088
Q7JR91	FBgn0013305
Q8SZP2	FBgn0031957
Q6NN09	FBgn0039830
Q9VAT1	FBgn0039602
Q7KQM6	FBgn0039936
Q8IA42	FBgn0051956
Q7K860	FBgn0033027
Q7JQI1	FBgn0033738
Q9VJ45	FBgn0027070
A1ZBT8	FBgn0034506
Q9VJF5	FBgn0032625
Q9VNX0	FBgn0037142
Q9W2A3	FBgn0034684
P07247	FBgn0001325
Q9VYT6	FBgn0030341
Q9W062	FBgn0035294
A1ZAK7	FBgn0014870
Q8SYN3	FBgn0035755
Q9VY92	FBgn0030519
Q9VCB8	FBgn0266282
Q9W2G2	FBgn0034634
Q9VKX8	FBgn0032233
Q9VZV5	FBgn0266918
Q9VNX7	FBgn0046301
Q9V3I1	FBgn0250837
Q9Y0Y2	FBgn0027493
Q24478	FBgn0000283
Q9VJU8	FBgn0028542
Q9I7H8	FBgn0042111
Q9VB28	FBgn0039522
Q9VII7	FBgn0028986
Q8INV7	FBgn0053117
Q9W3N7	FBgn0029971
Q9VFL5	FBgn0027083
Q8T3P5	FBgn0031749
Q9VCF2	FBgn0051140
Q9VQF5	FBgn0031452
Q9VLF2	FBgn0032089
Q9VNX1	FBgn0037141
C0HJH4	FBgn0266491
Q8MKN0	FBgn0050493
Q9VNT6	FBgn0037169
P91926	FBgn0264855
Q8MSW0	FBgn0027086
Q9VDE6	FBgn0266674
Q9VDK6	FBgn0038811
Q9VUW4	FBgn0036553
Q9VIL2	FBgn0032870
Q7KN85	FBgn0020236
Q27411	FBgn0014022
P05709	FBgn0004666
Q9VFV2	FBgn0038151
Q9VNE4	FBgn0261004
A1ZBK1	FBgn0034437
Q09101	FBgn0010114
Q9VMI5	FBgn0031769
Q9VMK9	FBgn0031752
Q8IQX7	FBgn0265598
Q9V4I1	FBgn0015039
Q9VJX3	FBgn0023407
Q9W3K8	FBgn0029995
Q8SX21	FBgn0264785
Q9VXH9	FBgn0030739
A0A1F4	FBgn0031414
Q86PC3	FBgn0034606
Q7K3E9	FBgn0033616
A1ZAZ2	FBgn0034276
Q9VUM3	FBgn0036489
Q9VEJ4	FBgn0038515
Q9VY14	FBgn0030583
Q9VD73	FBgn0015229
Q8MZH8	FBgn0287184
Q9W3H7	FBgn0261873
Q9W584	FBgn0260986
Q9VQR8	FBgn0284253
Q9VLU0	FBgn0031977
Q3YNA4	FBgn0005654
O76521	FBgn0024889
Q8WTI7	FBgn0046874
Q8MRA9	FBgn0034210
Q9VK72	FBgn0032442
Q8IQA1	FBgn0035871
Q9V6H1	FBgn0033775
Q9VU19	FBgn0036318
Q01070	FBgn0002735
Q9W227	FBgn0034753
Q7JR80	FBgn0265186
Q24211	FBgn0016976
Q8IMY1	FBgn0001098
A1Z9L3	FBgn0086895
Q9W5E2	FBgn0025634
Q9W1L5	FBgn0262728
Q9VC60	FBgn0039210
Q7JVV8	FBgn0033968
A1ZAC2	FBgn0034096
Q9VLB3	FBgn0032123
Q24027	FBgn0005677
X2JCX9	FBgn0013323
M9PF00	FBgn0036278
Q8MZ13	FBgn0030992
Q9VSU7	FBgn0035965
Q9Y1P6	FBgn0027364
Q9VHG4	FBgn0037671
Q9VAB0	FBgn0039742
Q7JYY0	FBgn0038834
Q9V4F9	FBgn0039923
Q9V414	FBgn0019890
Q9VHG7	FBgn0037668
Q9W0M6	FBgn0260755
P37276	FBgn0261797
Q9VWH9	FBgn0031022
Q9I7D3	FBgn0042134
Q9VTH4	FBgn0041094
Q9VZC9	FBgn0035540
Q9W4N2	FBgn0029693
A1ZAC4	FBgn0034098
Q8MSW4	FBgn0036856
Q9W2B3	FBgn0034674
O96676	FBgn0026144
Q7K1P7	FBgn0039229
Q9VJD3	FBgn0024689
Q9VAZ2	FBgn0039552
Q9VED7	FBgn0038564
A1Z8U4	FBgn0010621
Q9V3U7	FBgn0028943
Q9W4X5	FBgn0040333
A8WH76	FBgn0259918
Q9VRZ6	FBgn0035721
Q9VHI1	FBgn0037657
Q6U9V3	FBgn0026179
O61734	FBgn0023094
Q9VCG8	FBgn0085384
Q9VYN3	FBgn0030386
Q8MSJ9	FBgn0034566
P26686	FBgn0004587
Q0E917	FBgn0020440
Q7KTK9	FBgn0283658
Q9VYD6	FBgn0030481
Q0E9G3	FBgn0033224
Q6NR36	FBgn0024732
Q7PLL6	FBgn0287182
Q9VG69	FBgn0038049
Q9VUI8	FBgn0036460
Q9W0S0	FBgn0264707
Q9XZ10	FBgn0028671
Q0KI27	FBgn0083985
Q9VQ17	FBgn0031345
Q9VTR2	FBgn0036227
Q8MT36	FBgn0039559
Q9W2W2	FBgn0030191
O16157	FBgn0020908
Q7KN94	FBgn0010516
Q9W004	FBgn0035348
Q9VLK8	FBgn0285971
O46100	FBgn0024365
Q9W4K1	FBgn0003210
Q9VI02	FBgn0037516
O45030	FBgn0015838
Q7KSF5	FBgn0038475
Q8T049	FBgn0025726
Q9VP20	FBgn0029152
Q0E8E7	FBgn0053260
Q7K012	FBgn0025716
Q59DX8	FBgn0037747
Q9VBF5	FBgn0039425
Q95RQ1	FBgn0035539
Q9VU02	FBgn0261933
A1Z9C8	FBgn0259221
P22711	FBgn0004110
Q9VGV6	FBgn0037845
Q9VM76	FBgn0017551
Q27331	FBgn0263598
Q24206	FBgn0283451
Q9VF72	FBgn0038330
O76894	FBgn0025390
Q9XZ09	FBgn0262714
Q9VYX7	FBgn0030310
Q9VD25	FBgn0038951
Q9VH23	FBgn0001321
Q86BB6	FBgn0263346
Q9VW80	FBgn0036939
Q9VN36	FBgn0037260
A1Z8U7	FBgn0033693
P07140	FBgn0000024
Q9VHW8	FBgn0001255
Q8SYM9	FBgn0036775
A1Z8V5	FBgn0033705
Q95TR0	FBgn0031118
Q7JVY0	FBgn0265935
Q9VB86	FBgn0029170
Q8MRK4	FBgn0020309
Q24157	FBgn0000221
Q95RH3	FBgn0052756
Q9VX43	FBgn0030846
Q9W0D7	FBgn0035233
A1ZBF7	FBgn0028669
Q7JZ25	FBgn0033755
Q8T052	FBgn0261793
Q9W2N5	FBgn0034573
Q8IPJ5	FBgn0051636
B7Z086	FBgn0261556
Q9VDX5	FBgn0038702
Q9VTR6	FBgn0028573
Q8MRL0	FBgn0270925
Q9VKJ3	FBgn0262647
Q8IRR5	FBgn0029783
Q7JVM1	FBgn0050052
Q9VCU4	FBgn0051139
Q9V9S0	FBgn0032949
Q868Z9	FBgn0003137
Q9VY63	FBgn0030538
Q9VNA6	FBgn0037315
Q9VXY4	FBgn0030611
Q8IRY7	FBgn0020381
Q9W2D5	FBgn0266346
Q9VQR0	FBgn0031538
P46415	FBgn0011768
Q9VR06	FBgn0031611
Q9VZQ8	FBgn0035438
P22812	FBgn0003882
A1ZBK7	FBgn0034443
Q9V457	FBgn0026263
Q9W2I6	FBgn0034611
Q9VN03	FBgn0037232
Q8I0B7	FBgn0037339
Q8MS27	FBgn0038923
Q9VNF3	FBgn0037354
Q9VRF2	FBgn0003950
Q5U0Y0	FBgn0022764
Q9VL27	FBgn0032192
Q9VFD5	FBgn0038286
A1Z6Z7	FBgn0033183
Q9I7S8	FBgn0020513
Q8MQJ5	FBgn0051122
Q9I7P8	FBgn0037024
Q9VUB4	FBgn0036397
Q9VGT2	FBgn0040253
Q9VHE5	FBgn0037686
Q963E5	FBgn0260934
Q7KE32	FBgn0043533
Q961X4	FBgn0036365
A8DY57	FBgn0033222
Q8IR22	FBgn0052580
O96794	FBgn0026150
Q8MLZ7	FBgn0020414
Q9VKU2	FBgn0032262
Q9VAY8	FBgn0053213
Q7PL26	FBgn0267861
Q9VXN4	FBgn0027093
Q8T0M6	FBgn0035980
Q9VAG5	FBgn0000247
Q95RC6	FBgn0261530
P29775	FBgn0005659
Q9VXA0	FBgn0030800
E1JH23	FBgn0033463
Q9VVE2	FBgn0036697
Q9U6M0	FBgn0028436
Q9VTZ0	FBgn0041775
O77459	FBgn0011236
Q8IN05	FBgn0261279
Q9VV90	FBgn0036652
P37161	FBgn0004431
Q9VC43	FBgn0040600
Q9W1I8	FBgn0034913
Q9VTL9	FBgn0036191
Q9VII3	FBgn0032895
Q7K284	FBgn0033842
P91938	FBgn0020653
Q9VV40	FBgn0036614
Q9U983	FBgn0261524
Q86B99	FBgn0051211
Q9NFT7	FBgn0042710
Q9VRQ7	FBgn0035644
P91634	FBgn0015279
A1Z951	FBgn0261545
Q9W1N3	FBgn0034877
Q9V470	FBgn0029118
Q7K569	FBgn0022160
P48809	FBgn0004838
O16129	FBgn0275436
P20349	FBgn0001281
Q9VTR4	FBgn0036229
A1Z9L0	FBgn0033897
Q9VXX1	FBgn0030623
Q95T04	FBgn0027835
A1Z7C4	FBgn0053087
Q9VQH3	FBgn0031465
Q59DV6	FBgn0038890
Q9VRR4	FBgn0053523
P05812	FBgn0001227
O44386	FBgn0286785
P18486	FBgn0000075
Q7KJA9	FBgn0261403
Q961N0	FBgn0015570
Q8IGV3	FBgn0037341
Q95SJ2	FBgn0031859
Q7K037	FBgn0034472
Q00963	FBgn0250788
Q8SYQ9	FBgn0051446
A1Z9T6	FBgn0033954
Q9VIN1	FBgn0015803
Q8SXY5	FBgn0037012
Q9VBP5	FBgn0039350
P04359	FBgn0002626
P50445	FBgn0003302
Q9VJ27	FBgn0032730
Q9VKP6	FBgn0032304
A8DYE0	FBgn0027596
P52034	FBgn0003071
M9PGR0	FBgn0040467
Q9VS63	FBgn0035776
P05031	FBgn0000422
A1Z8B5	FBgn0033544
A1Z9L5	FBgn0033899
A8JUY3	FBgn0030687
Q9VGC1	FBgn0038000
Q9VV68	FBgn0263131
Q9VBS9	FBgn0039319
Q8IHA6	FBgn0037831
Q7K511	FBgn0023507
Q8SYY6	FBgn0047135
A1Z7S0	FBgn0015477
A1Z7D2	FBgn0050371
Q9V853	FBgn0029006
O76874	FBgn0024989
Q9W2I2	FBgn0034614
Q7JY04	FBgn0033792
M9PGC5	FBgn0037098
Q95UI6	FBgn0011224
Q8IRD0	FBgn0052267
Q8T4D4	FBgn0031784
M9PFF1	FBgn0020655
Q9VLY7	FBgn0041181
Q8IQD6	FBgn0036043
Q7KLG8	FBgn0026361
Q9BIW6	FBgn0030093
Q9VI34	FBgn0037456
Q01642	FBgn0004172
Q8T9L5	FBgn0038167
Q9VD17	FBgn0038958
Q7K003	FBgn0033341
M9PCW1	FBgn0031969
Q8MQW7	FBgn0015513
Q8MSS1	FBgn0029688
Q8T0I6	FBgn0028582
Q9W295	FBgn0034692
Q9W4Z9	FBgn0023527
Q9W1R6	FBgn0085452
A1Z6W3	FBgn0003090
Q9VYT2	FBgn0030345
P56538	FBgn0034915
Q9W2S9	FBgn0030221
Q9VBI3	FBgn0039402
Q9VJX4	FBgn0263354
Q9VY50	FBgn0026713
A1ZB68	FBgn0063497
P58951	FBgn0045501
Q9VFP8	FBgn0038189
Q8T9B6	FBgn0004132
Q9VSE1	FBgn0035842
Q9VBP2	FBgn0261986
P07663	FBgn0003068
P29555	FBgn0000014
Q9VSP9	FBgn0035926
Q9VED8	FBgn0000477
Q9VFU7	FBgn0038156
B9A0N7	FBgn0037244
Q9GU66	FBgn0031106
Q7JZN0	FBgn0010638
Q9V415	FBgn0028475
Q9VRK8	FBgn0016031
Q9VN02	FBgn0037231
Q9VZV2	FBgn0035398
Q9VK60	FBgn0032453
Q9VSD6	FBgn0026252
P12428	FBgn0000241
Q9W1H3	FBgn0034923
Q9VPQ5	FBgn0043364
Q8SXP1	FBgn0046294
Q9VU26	FBgn0036325
Q8MSI6	FBgn0040343
Q9W4U9	FBgn0029642
Q95TH6	FBgn0032401
Q3YMU0	FBgn0033663
Q9VV21	FBgn0036597
Q9VTT1	FBgn0036246
Q9VF28	FBgn0038369
Q9VDY5	FBgn0038693
Q27593	FBgn0013772
Q23989	FBgn0003187
Q94887	FBgn0013997
A1ZAN7	FBgn0023172
Q9VGE7	FBgn0260746
O46101	FBgn0024361
Q9VZD5	FBgn0035534
Q8MRP7	FBgn0010651
Q9VTX2	FBgn0036282
Q9VX46	FBgn0030844
P40793	FBgn0010341
Q9VRS7	FBgn0035665
B7Z0I2	FBgn0035308
Q9VEL2	FBgn0038499
M9PDA5	FBgn0085192
Q9VRI9	FBgn0031182
Q9VXK0	FBgn0030724
Q7K1C0	FBgn0031228
Q7JX82	FBgn0010504
Q9VS97	FBgn0035806
Q7KML2	FBgn0027572
A1Z734	FBgn0033212
Q9VWL9	FBgn0261461
P09957	FBgn0004034
Q9VC92	FBgn0039184
Q9VQS5	FBgn0031550
Q9VNA4	FBgn0037313
Q7KUJ8	FBgn0036391
Q9V492	FBgn0039930
Q9V3S7	FBgn0028480
Q9VIG0	FBgn0032916
Q9W379	FBgn0030096
Q9W2K3	FBgn0034599
Q0E938	FBgn0028494
P04052	FBgn0003277
Q9VDR1	FBgn0038760
Q9NHV5	FBgn0040465
A1Z823	FBgn0033468
P55035	FBgn0015283
A1Z9R9	FBgn0050076
Q7K330	FBgn0033443
Q9VJI5	FBgn0032601
Q9VRZ3	FBgn0035718
Q9VF89	FBgn0038319
