Q5BI03	FBgn0034009
Q27884	FBgn0003139
Q4V6H2	FBgn0034415
Q8MSX2	FBgn0024330
P02515	FBgn0001223
A1Z6J2	FBgn0033052
A4IJ70	FBgn0259714
Q9U1M2	FBgn0040384
Q9I7V4	FBgn0042098
Q9W4N9	FBgn0029686
Q9VBD4	FBgn0051080
Q7JR80	FBgn0265186
Q8ST61	FBgn0032816
Q9VW54	FBgn0028695
Q9XYU1	FBgn0284442
Q9VJ87	FBgn0086707
Q9VHD1	FBgn0037698
Q9VL20	FBgn0032197
Q9VI60	FBgn0040670
A1Z7G0	FBgn0259226
Q9VTB0	FBgn0036096
Q9I7L7	FBgn0042133
P22808	FBgn0261930
Q9VP18	FBgn0028663
Q9W145	FBgn0035028
Q27606	FBgn0014469
P16621	FBgn0000464
Q9W0E2	FBgn0035228
Q9VF23	FBgn0038373
Q9V4E0	FBgn0039909
Q9VXD7	FBgn0052573
Q8SXK2	FBgn0037526
Q94535	FBgn0017457
Q7JQ32	FBgn0266136
Q9VUA0	FBgn0036386
Q9VD31	FBgn0038945
Q9VN55	FBgn0010750
Q9VUJ2	FBgn0036463
Q9VS38	FBgn0035754
P31368	FBgn0085424
Q9W4N6	FBgn0029689
Q9W3M6	FBgn0029980
P52172	FBgn0003507
Q8MRL1	FBgn0052450
Q8INK9	FBgn0267376
Q9VWH2	FBgn0031026
Q9W1D9	FBgn0034951
Q9VMD0	FBgn0031820
Q9VJ61	FBgn0032702
Q9VWQ2	FBgn0283473
Q8IPH9	FBgn0264087
Q9W3J9	FBgn0030003
Q9VVH8	FBgn0036731
Q9VW53	FBgn0036916
Q9VIE3	FBgn0051624
Q9VIS1	FBgn0032821
Q7PLT4	FBgn0263977
Q95SW6	FBgn0032391
Q8IPS4	FBgn0037200
Q9VEX0	FBgn0040271
P23645	FBgn0000180
Q9VN25	FBgn0037249
Q9VDQ3	FBgn0038768
P39769	FBgn0004861
Q9VDW9	FBgn0038706
Q9VWH1	FBgn0052532
Q9VQJ6	FBgn0031483
Q9W499	FBgn0029785
Q8IH13	FBgn0038487
Q04164	FBgn0002306
Q4V5H8	FBgn0037460
Q9VAH4	FBgn0039694
A1ZAX1	FBgn0034258
P23257	FBgn0260639
Q9W2T3	FBgn0030217
Q9VDZ1	FBgn0038686
Q9VWF5	FBgn0031043
Q08605	FBgn0013263
P23779	FBgn0004629
Q9VR26	FBgn0031628
P27716	FBgn0004646
Q9VD55	FBgn0038925
Q9VSC6	FBgn0035831
P53997	FBgn0014879
M9PFG6	FBgn0036411
Q08180	FBgn0003285
Q9VBC5	FBgn0039450
Q9VPW2	FBgn0031298
Q9VEB9	FBgn0011481
Q9VDE8	FBgn0038854
Q9VS12	FBgn0035735
Q9VMQ5	FBgn0031713
A1Z7R9	FBgn0259728
Q9W5B6	FBgn0040337
A1Z9E0	FBgn0033844
Q9W1H3	FBgn0034923
Q9VNI4	FBgn0037378
Q9V9A8	FBgn0028579
O18332	FBgn0285937
Q7KB18	FBgn0034405
B6VQ99	FBgn0037085
Q9VCG6	FBgn0039124
