P,x
Genetic_Algorithm,0.0006484050907021367
Genetic_Algorithm,0.0017780350322923917
Genetic_Algorithm,0.0002875426646627244
Genetic_Algorithm,0.0005035485930595491
Genetic_Algorithm,0.0005057011928180314
Genetic_Algorithm,0.0018179875719639004
Genetic_Algorithm,0.0010358726156599139
Genetic_Algorithm,0.003027883435819182
Genetic_Algorithm,0.0020647740284901513
Genetic_Algorithm,0.0023685606211504904
Genetic_Algorithm,0.002828630096586053
Genetic_Algorithm,0.001964705286479815
Genetic_Algorithm,0.002190774529812411
Genetic_Algorithm,0.002242659609059946
Genetic_Algorithm,0.0014826119158155029
Genetic_Algorithm,0.005243564343859389
Genetic_Algorithm,0.0046523719229801825
Genetic_Algorithm,0.004652507013896713
Genetic_Algorithm,0.00547665886911171
Genetic_Algorithm,0.0039521869571947565
Genetic_Algorithm,0.0051437454556820614
Genetic_Algorithm,0.004514282186026322
Genetic_Algorithm,0.006139170793306503
Genetic_Algorithm,0.010091720368162485
Genetic_Algorithm,0.009736518911493951
Genetic_Algorithm,0.00797818380956191
Genetic_Algorithm,0.006620773626283722
Genetic_Algorithm,0.00686405825009858
Genetic_Algorithm,0.007544747846468799
Genetic_Algorithm,0.010331939248705624
Genetic_Algorithm,0.012250086766514703
Genetic_Algorithm,0.012081001964851654
Genetic_Algorithm,0.0058042613228183266
Genetic_Algorithm,0.011867793351684766
Genetic_Algorithm,0.029329901254487877
Genetic_Algorithm,0.02569148596252857
Genetic_Algorithm,0.01496090802159226
Genetic_Algorithm,0.016562889933400663
Genetic_Algorithm,0.03793758932309223
Genetic_Algorithm,0.024347836154655203
Genetic_Algorithm,0.05087492511675483
Genetic_Algorithm,0.060290394675248146
Betweenness_Centrality,0.060290394675248146
Betweenness_Centrality,0.050874925116754836
Betweenness_Centrality,0.03793758932309222
Betweenness_Centrality,0.02932990125448789
Betweenness_Centrality,0.025691485962528564
Betweenness_Centrality,0.024347836154655206
Betweenness_Centrality,0.02343445567002123
Betweenness_Centrality,0.02022223269341585
Betweenness_Centrality,0.016562889933400653
Betweenness_Centrality,0.01496090802159226
Betweenness_Centrality,0.013414922649838857
Betweenness_Centrality,0.012250086766514708
Betweenness_Centrality,0.012081001964851654
Betweenness_Centrality,0.011867793351684766
Betweenness_Centrality,0.011554567555185889
Betweenness_Centrality,0.011499358741279284
Betweenness_Centrality,0.011101929263531688
Betweenness_Centrality,0.010639808578041487
Betweenness_Centrality,0.010331939248705624
Betweenness_Centrality,0.010091720368162483
Betweenness_Centrality,0.009926328928110715
Betweenness_Centrality,0.009740592002124368
Betweenness_Centrality,0.009736518911493951
Betweenness_Centrality,0.00822392084541971
Betweenness_Centrality,0.00797818380956191
Betweenness_Centrality,0.007544747846468798
Betweenness_Centrality,0.0074655589853389265
Betweenness_Centrality,0.007017212316184686
Betweenness_Centrality,0.00686405825009858
Betweenness_Centrality,0.006756151188639662
Betweenness_Centrality,0.006688906371316928
Betweenness_Centrality,0.006676590404000671
Betweenness_Centrality,0.00662077362628372
Betweenness_Centrality,0.006580672393791874
Betweenness_Centrality,0.006139170793306503
Betweenness_Centrality,0.005804261322818325
Betweenness_Centrality,0.0058034640485712195
Betweenness_Centrality,0.005792169846851205
Betweenness_Centrality,0.0056012345142123264
Betweenness_Centrality,0.00547665886911171
Betweenness_Centrality,0.005365511300925609
Betweenness_Centrality,0.005243564343859389
Betweenness_Centrality,0.0051437454556820614
Betweenness_Centrality,0.005044605825144764
Betweenness_Centrality,0.004882786273745873
Betweenness_Centrality,0.004652507013896713
Betweenness_Centrality,0.0046523719229801825
Betweenness_Centrality,0.004613208391459737
Betweenness_Centrality,0.004585867198036254
Betweenness_Centrality,0.004533946364179654
Betweenness_Centrality,0.00452057385937329
Betweenness_Centrality,0.0045142821860263225
Betweenness_Centrality,0.004382023389364956
Betweenness_Centrality,0.004240606220476479
Betweenness_Centrality,0.004096609142038591
Betweenness_Centrality,0.003952186957194757
Betweenness_Centrality,0.003930174359394086
Betweenness_Centrality,0.0036985070172768646
Betweenness_Centrality,0.003663645679669092
Betweenness_Centrality,0.003635588992194061
Betweenness_Centrality,0.003581316031991743
